SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
-20,0.1012777777777777,0.1048333333333333,0.1049722222222222,0.1045,0.1081944444444444,0.1090833333333333,0.106,0.10475,0.1063055555555555,0.10475,0.1065833333333333,0.1064166666666666,0.1044166666666666,0.1052777777777777,0.1060555555555555,0.1051944444444444,0.1059166666666666,0.1081111111111111,0.1065555555555555,0.1045277777777777,0.1053333333333333,0.1056944444444444,0.1048888888888888,0.1051666666666666,0.1061388888888889,0.1077222222222222,0.1066388888888889,0.104,0.1048611111111111,0.1059166666666666,0.1051944444444444,0.106,0.1043888888888888,0.1058055555555555,0.10475,0.1063055555555555,0.1060555555555555,0.1076944444444444,0.1063888888888889,0.1082222222222222,0.1091666666666666,0.10625,0.1060833333333333,0.1056388888888889,0.1055,0.1080555555555555,0.1074444444444444,0.1070833333333333,0.1073611111111111,0.1067222222222222,0.1084722222222222,0.1075555555555555,0.1103333333333333,0.1075,0.1077222222222222,0.1073888888888889,0.107,0.1069444444444444,0.10822222222222222
-18,0.1016666666666666,0.1038888888888888,0.1076111111111111,0.1070833333333333,0.11,0.1102777777777777,0.1076666666666666,0.1083611111111111,0.1099722222222222,0.1071666666666666,0.1080833333333333,0.1087222222222222,0.1120833333333333,0.1091944444444444,0.1110277777777777,0.1085,0.1098888888888888,0.1104722222222222,0.1113611111111111,0.1095277777777777,0.1114444444444444,0.1100555555555555,0.1126666666666666,0.1098611111111111,0.1093888888888888,0.10925,0.1094166666666666,0.1093611111111111,0.1121111111111111,0.1087777777777777,0.108,0.1102777777777777,0.1103888888888888,0.1090555555555555,0.1119444444444444,0.1103611111111111,0.1090833333333333,0.11175,0.1095555555555555,0.1125833333333333,0.1112777777777777,0.1128055555555555,0.11,0.1137222222222222,0.1126111111111111,0.1114722222222222,0.1121111111111111,0.1126944444444444,0.1115277777777777,0.1129444444444444,0.1123888888888888,0.1122222222222222,0.1129166666666666,0.1136944444444444,0.1144444444444444,0.1119722222222222,0.1146666666666666,0.1131666666666666,0.11375
-16,0.1056388888888889,0.1121944444444444,0.11475,0.1170833333333333,0.11975,0.1171666666666666,0.1199166666666666,0.1195277777777777,0.118,0.1216944444444444,0.1203055555555555,0.1255,0.1225277777777777,0.1210833333333333,0.1213333333333333,0.1241944444444444,0.1241388888888888,0.1268888888888888,0.1221111111111111,0.1254722222222222,0.1223055555555555,0.1242222222222222,0.1233888888888889,0.1232222222222222,0.1235555555555555,0.1258888888888888,0.1226111111111111,0.1237222222222222,0.1248055555555555,0.125,0.1255833333333333,0.1254722222222222,0.1242777777777777,0.1234166666666666,0.1237777777777777,0.1253888888888888,0.1262777777777777,0.1280555555555555,0.1261666666666666,0.1250277777777777,0.12625,0.12725,0.1259166666666666,0.1265833333333333,0.1271111111111111,0.12725,0.1271388888888888,0.1253888888888888,0.1255,0.128,0.12775,0.1255833333333333,0.1257777777777777,0.1271944444444444,0.1282222222222222,0.1291388888888889,0.1259444444444444,0.1259722222222222,0.12613888888888888
-14,0.1112777777777777,0.1241388888888888,0.1296666666666666,0.1351666666666666,0.1323055555555555,0.1371111111111111,0.1396666666666666,0.1415833333333333,0.1465833333333333,0.14625,0.1465,0.1488888888888888,0.1482777777777777,0.1510277777777778,0.1486388888888888,0.1496111111111111,0.1509166666666666,0.1517777777777778,0.1551111111111111,0.1551111111111111,0.1549444444444444,0.1541111111111111,0.1544166666666666,0.1566666666666666,0.1528611111111111,0.1545,0.1555833333333333,0.1538333333333333,0.1528888888888888,0.16025,0.1572222222222222,0.1591944444444444,0.1575277777777777,0.1564444444444444,0.1565277777777777,0.1574444444444444,0.1583333333333333,0.1591944444444444,0.1581111111111111,0.1585,0.1587777777777777,0.1631944444444444,0.1626944444444444,0.1609722222222222,0.1625555555555555,0.1613055555555555,0.161,0.1653055555555555,0.1640277777777777,0.1634722222222222,0.1636111111111111,0.1634166666666666,0.1653888888888889,0.1648888888888889,0.1632222222222222,0.1663611111111111,0.1639166666666666,0.1652222222222222,0.16575
-12,0.1248611111111111,0.1498333333333333,0.16625,0.1676111111111111,0.1773888888888889,0.1925,0.1980277777777777,0.1999722222222222,0.2033055555555555,0.2016944444444444,0.2029166666666666,0.2021111111111111,0.2013333333333333,0.2045277777777777,0.2059166666666666,0.2040833333333333,0.2061111111111111,0.2065833333333333,0.2068333333333333,0.20325,0.2038611111111111,0.2044722222222222,0.2041111111111111,0.2053333333333333,0.20275,0.2028611111111111,0.2048055555555555,0.2053333333333333,0.2048611111111111,0.2052777777777777,0.2041111111111111,0.2060833333333333,0.2052222222222222,0.2100833333333333,0.2103888888888888,0.2094444444444444,0.2067777777777777,0.211,0.2100555555555555,0.2075277777777777,0.2108888888888888,0.2143611111111111,0.2134444444444444,0.21525,0.2176111111111111,0.2179444444444444,0.2182777777777777,0.2144166666666666,0.2202777777777777,0.2198055555555555,0.2183611111111111,0.2221111111111111,0.2214444444444444,0.2199444444444444,0.2207222222222222,0.2228611111111111,0.2206666666666666,0.2215555555555555,0.22261111111111112
-10,0.1456944444444444,0.1955,0.2237222222222222,0.2239166666666666,0.2554444444444444,0.2856111111111111,0.29075,0.2916666666666667,0.2898888888888888,0.2914444444444444,0.2888888888888888,0.2911666666666667,0.2894722222222222,0.2893888888888888,0.29075,0.2895277777777778,0.288,0.2873888888888889,0.2901111111111111,0.2939444444444444,0.2965833333333333,0.3007777777777777,0.3011388888888889,0.3005833333333333,0.3008888888888889,0.3006944444444444,0.3018055555555555,0.3041111111111111,0.2991111111111111,0.3013888888888889,0.3001666666666667,0.3025277777777778,0.29975,0.3028055555555555,0.3005555555555556,0.2996666666666667,0.3016666666666667,0.3014166666666666,0.3014722222222222,0.2978888888888888,0.2976944444444444,0.3018888888888889,0.2994722222222222,0.2986944444444444,0.3005555555555556,0.2998055555555555,0.30025,0.2987777777777777,0.3008055555555555,0.3026111111111111,0.3016666666666667,0.30225,0.3001666666666667,0.3021944444444444,0.3022777777777777,0.3050833333333333,0.3020833333333333,0.3048333333333333,0.3028888888888889
-8,0.1745277777777777,0.2408611111111111,0.2663333333333333,0.2743611111111111,0.3165833333333333,0.34375,0.3525277777777778,0.3567777777777778,0.3618055555555555,0.362,0.3675,0.3716944444444444,0.3688333333333333,0.3724444444444444,0.3733055555555555,0.3743888888888889,0.3781388888888889,0.3800833333333333,0.3819166666666667,0.3878333333333333,0.39325,0.3964444444444444,0.4002222222222222,0.4031666666666667,0.40325,0.4062222222222222,0.4120555555555555,0.4124166666666666,0.4153611111111111,0.4142777777777778,0.4165555555555555,0.4188888888888888,0.4171388888888889,0.4165,0.4185277777777778,0.4168611111111111,0.4218333333333333,0.422,0.4224444444444444,0.4224444444444444,0.4234444444444444,0.4289166666666666,0.4307777777777777,0.4293333333333333,0.4273333333333333,0.4296944444444444,0.4278888888888889,0.4304444444444444,0.4309166666666666,0.4348888888888889,0.4348611111111111,0.43325,0.4324722222222222,0.4354444444444444,0.4352222222222222,0.4347222222222222,0.4346944444444444,0.4343611111111111,0.43722222222222223
-6,0.2002777777777777,0.2850833333333333,0.3057777777777777,0.3099166666666667,0.3786666666666666,0.4137777777777778,0.4369444444444444,0.447,0.4538055555555556,0.4573333333333333,0.4675,0.4705277777777777,0.4788888888888888,0.4800833333333333,0.4853888888888888,0.4893611111111111,0.4905277777777778,0.4930555555555556,0.4933055555555555,0.4956111111111111,0.5028055555555555,0.5018888888888889,0.5037777777777778,0.5068888888888889,0.5069166666666667,0.5101666666666667,0.51475,0.51875,0.5196666666666667,0.5211111111111111,0.5249722222222222,0.5271111111111111,0.5238055555555555,0.5279166666666667,0.5300277777777778,0.5282222222222223,0.5300555555555555,0.5290833333333333,0.5338055555555555,0.5356388888888889,0.5381111111111111,0.5445277777777778,0.5470555555555555,0.5483611111111111,0.5476666666666666,0.5506388888888889,0.5521111111111111,0.5520555555555555,0.5568888888888889,0.5595,0.5588055555555556,0.5588611111111111,0.5568888888888889,0.5636944444444445,0.5620277777777778,0.5616111111111111,0.5636944444444445,0.5648333333333333,0.5645833333333333
-4,0.2175555555555555,0.3653055555555555,0.3894722222222222,0.3991388888888889,0.4662222222222222,0.523,0.5568611111111111,0.5739166666666666,0.5865833333333333,0.5935833333333334,0.6004444444444444,0.6070555555555556,0.6145277777777778,0.6194722222222222,0.6235833333333334,0.6275555555555555,0.6298055555555555,0.63425,0.6352777777777778,0.6435833333333333,0.6478055555555555,0.6497222222222222,0.6546944444444445,0.65725,0.6573888888888889,0.6615,0.6627222222222222,0.6641388888888888,0.6668611111111111,0.6683333333333333,0.6679166666666667,0.6743888888888889,0.6733333333333333,0.6746388888888889,0.6768333333333333,0.6778333333333333,0.67975,0.6802777777777778,0.6816944444444445,0.6840833333333334,0.6859444444444445,0.6955,0.6952777777777778,0.69875,0.6986111111111111,0.69825,0.6997777777777778,0.6978888888888889,0.7060833333333333,0.7072777777777778,0.7087222222222223,0.7091944444444445,0.7088611111111112,0.7116111111111111,0.7133611111111111,0.7144166666666667,0.7135,0.7155,0.7159722222222222
-2,0.2257777777777777,0.4290833333333333,0.4663333333333333,0.4941111111111111,0.5624722222222223,0.6140277777777777,0.6475277777777778,0.6670277777777778,0.6777777777777778,0.6895555555555556,0.6981111111111111,0.70925,0.7165555555555555,0.7243888888888889,0.7294444444444445,0.7364444444444445,0.7405833333333334,0.7469722222222223,0.7530277777777777,0.7618055555555555,0.7748055555555555,0.7822222222222223,0.7885833333333333,0.7930555555555555,0.7951111111111111,0.7987777777777778,0.8007222222222222,0.8038611111111111,0.8053055555555556,0.8086111111111111,0.8093611111111111,0.81325,0.8113333333333334,0.816,0.8174166666666667,0.8187222222222222,0.8214166666666667,0.8211666666666667,0.8227222222222222,0.8253888888888888,0.8245555555555556,0.8330277777777778,0.83525,0.8361666666666666,0.8355277777777778,0.8364722222222222,0.837,0.8393055555555555,0.8446388888888889,0.8447777777777777,0.8456111111111111,0.8450277777777778,0.8453333333333334,0.8501111111111112,0.8505833333333334,0.8495833333333334,0.8506666666666667,0.8518888888888889,0.8516666666666667
0,0.2280555555555555,0.4888888888888889,0.5631388888888889,0.6013888888888889,0.6481388888888889,0.6899444444444445,0.7141666666666666,0.7357777777777778,0.7482222222222222,0.7598611111111111,0.7692777777777777,0.7807222222222222,0.7843055555555556,0.7917222222222222,0.7954166666666667,0.7992777777777778,0.80275,0.8080833333333334,0.8208055555555556,0.8314166666666667,0.8490277777777778,0.8568611111111111,0.8626388888888888,0.8681111111111111,0.8704444444444445,0.8731388888888889,0.8778333333333334,0.8781666666666667,0.8781111111111111,0.8825833333333334,0.8830833333333333,0.8839722222222223,0.8854166666666666,0.8859444444444444,0.8876944444444445,0.8879444444444444,0.88975,0.8909722222222223,0.8916388888888889,0.8918055555555555,0.89225,0.8991666666666667,0.9000833333333333,0.9002777777777777,0.8994444444444445,0.9008333333333334,0.9014444444444444,0.8999166666666667,0.9045555555555556,0.9043611111111112,0.9051111111111112,0.9069722222222222,0.9063888888888888,0.9085555555555556,0.9088055555555556,0.9083333333333332,0.9080833333333334,0.9101111111111112,0.9105555555555556
2,0.2262777777777777,0.5185555555555555,0.6036388888888888,0.6563611111111111,0.7016388888888889,0.7315,0.7576944444444444,0.7758333333333334,0.7897777777777778,0.8024722222222223,0.8076111111111111,0.8136111111111111,0.8168888888888889,0.8225,0.8238611111111112,0.8270277777777778,0.8303055555555555,0.8341388888888889,0.8408055555555556,0.8575833333333334,0.8736388888888889,0.8833333333333333,0.8893611111111112,0.8945,0.8969166666666667,0.8988888888888888,0.9007222222222222,0.90175,0.9041111111111112,0.9050555555555556,0.9053055555555556,0.9071944444444444,0.90725,0.9086111111111111,0.91025,0.9088611111111112,0.9114444444444444,0.9114444444444444,0.9112777777777776,0.9129166666666668,0.9131944444444444,0.91675,0.9184722222222222,0.9174722222222222,0.9170555555555556,0.9176388888888888,0.918,0.9192222222222224,0.9211666666666668,0.9203888888888888,0.9208611111111112,0.9215,0.9215277777777776,0.9227222222222222,0.9226388888888888,0.92325,0.9236111111111112,0.9239166666666668,0.9240555555555555
4,0.2255277777777777,0.5273333333333333,0.6207222222222222,0.67175,0.7178333333333333,0.75075,0.7731944444444444,0.7956666666666666,0.8058333333333333,0.8143333333333334,0.8232222222222222,0.8255,0.8291388888888889,0.8351111111111111,0.8369166666666666,0.8373888888888888,0.8382222222222222,0.8430277777777778,0.8495555555555555,0.86575,0.8834444444444445,0.8944722222222222,0.8988611111111111,0.9053888888888888,0.9071666666666668,0.9076111111111111,0.9108333333333334,0.9113333333333332,0.9131388888888888,0.9145833333333332,0.9153888888888888,0.9161666666666668,0.9161388888888888,0.9165277777777778,0.918,0.9186111111111112,0.9196944444444444,0.9196388888888888,0.9210277777777778,0.9207777777777778,0.9216388888888888,0.9229444444444443,0.9231111111111112,0.9244722222222224,0.9246388888888888,0.92425,0.9234166666666668,0.9246666666666666,0.926,0.9265555555555556,0.9261388888888888,0.9266111111111112,0.9268333333333332,0.9273888888888888,0.9278333333333332,0.9271388888888888,0.9273611111111112,0.9282777777777778,0.9285555555555556
6,0.2261944444444444,0.5333333333333333,0.6268888888888889,0.6796111111111112,0.7313888888888889,0.7616666666666667,0.7850833333333334,0.8006944444444445,0.8110277777777778,0.8196944444444444,0.8276666666666667,0.8319722222222222,0.8338611111111112,0.83725,0.8399166666666666,0.8401666666666666,0.8435555555555555,0.8468888888888889,0.8538055555555556,0.8705,0.8868888888888888,0.899,0.90375,0.9078055555555556,0.9102222222222224,0.9129444444444444,0.9135555555555556,0.9147222222222222,0.9165277777777778,0.91775,0.9179444444444445,0.9193611111111112,0.9192777777777776,0.9198888888888888,0.9198333333333332,0.92125,0.9213055555555556,0.9225555555555556,0.92325,0.92225,0.9223055555555556,0.9272777777777778,0.9259722222222222,0.9268055555555555,0.9264722222222224,0.9274444444444444,0.9273055555555556,0.92675,0.9280277777777778,0.9278611111111112,0.9285277777777776,0.9291111111111112,0.9291388888888888,0.9300833333333334,0.92925,0.9299166666666666,0.93,0.9305277777777776,0.9305555555555556
8,0.2285277777777777,0.5338333333333334,0.6249444444444444,0.67975,0.7291666666666666,0.7620277777777777,0.7865833333333333,0.8036388888888889,0.8133888888888889,0.8232777777777778,0.8295833333333333,0.8334166666666667,0.8355,0.8386666666666667,0.8401388888888889,0.8449444444444445,0.844,0.8481111111111111,0.8543055555555555,0.8698055555555556,0.8870277777777777,0.9003611111111111,0.9058333333333334,0.9091944444444444,0.9132777777777776,0.9143333333333332,0.9160277777777778,0.9163888888888888,0.9181666666666668,0.9181388888888888,0.9211666666666668,0.9210833333333334,0.9209444444444445,0.9215277777777776,0.9223888888888888,0.9219166666666668,0.9231388888888888,0.9232777777777778,0.9243888888888888,0.9239722222222222,0.9243055555555556,0.9273888888888888,0.9283333333333332,0.9278888888888888,0.9281388888888888,0.9284722222222224,0.9290277777777778,0.9291666666666668,0.9305833333333332,0.9310555555555556,0.9305555555555556,0.9301944444444444,0.9312777777777778,0.9312777777777778,0.9311944444444444,0.9316944444444444,0.9315833333333332,0.9320555555555556,0.9323611111111111
10,0.2301111111111111,0.53025,0.6261944444444445,0.6811944444444444,0.7316111111111111,0.7652777777777777,0.7890277777777778,0.8058333333333333,0.8164444444444444,0.8248611111111112,0.8315,0.8351944444444445,0.838,0.8419166666666666,0.8411666666666666,0.8436666666666667,0.8432777777777778,0.8488333333333333,0.8552222222222222,0.8706944444444444,0.8915833333333333,0.9023055555555556,0.9077777777777778,0.9126944444444444,0.9149444444444444,0.9165,0.9178611111111112,0.9182222222222224,0.919,0.9233333333333332,0.9226666666666666,0.9229166666666668,0.9209166666666668,0.9233611111111112,0.9241388888888888,0.9247777777777778,0.926,0.9262222222222222,0.9265833333333332,0.92525,0.9259444444444443,0.9290833333333334,0.93,0.9289444444444444,0.9295555555555556,0.9299722222222222,0.9296388888888888,0.9303333333333332,0.9314722222222224,0.93175,0.9315277777777776,0.9315833333333332,0.93175,0.9325,0.9328055555555556,0.9329166666666666,0.93275,0.9327222222222222,0.9331944444444444
12,0.2237222222222222,0.5286111111111111,0.6215833333333334,0.6798333333333333,0.7289722222222222,0.7630833333333333,0.7875,0.8060277777777778,0.8182222222222222,0.8237777777777778,0.8304444444444444,0.8345,0.8369722222222222,0.8391666666666666,0.8404166666666667,0.8430833333333333,0.846,0.8475,0.8548611111111111,0.8714444444444445,0.8888055555555555,0.8996666666666666,0.9062222222222224,0.9110277777777778,0.91325,0.9149722222222222,0.9159444444444444,0.9173333333333332,0.91925,0.9191388888888888,0.92,0.9209722222222222,0.9215,0.9215833333333332,0.9228888888888888,0.9238055555555555,0.92375,0.9251388888888888,0.9243611111111112,0.9257222222222222,0.9253888888888888,0.9288333333333332,0.9296388888888888,0.9298888888888888,0.9293333333333332,0.92925,0.9288888888888888,0.9303888888888888,0.9312777777777778,0.9320277777777778,0.9318611111111113,0.9322777777777778,0.9319166666666666,0.9330277777777778,0.9332222222222222,0.933,0.9328888888888888,0.9333055555555556,0.9334722222222223
14,0.2252222222222222,0.532,0.6279166666666667,0.6796666666666666,0.7298888888888889,0.7609166666666667,0.7861944444444444,0.8046666666666666,0.8188055555555556,0.8235277777777777,0.8306111111111111,0.8333333333333334,0.8362222222222222,0.8389444444444445,0.8404722222222222,0.8416111111111111,0.8450833333333333,0.8494444444444444,0.8538611111111111,0.8720277777777777,0.8897777777777778,0.9012222222222224,0.9064722222222222,0.9098888888888887,0.9140277777777778,0.9138055555555556,0.91675,0.9181388888888888,0.91925,0.9193888888888888,0.9196388888888888,0.9220833333333334,0.9211666666666668,0.9229444444444443,0.9231388888888888,0.9229166666666668,0.9241388888888888,0.9244166666666668,0.9255555555555556,0.92475,0.9263611111111112,0.9283333333333332,0.9286944444444444,0.9288055555555556,0.9296388888888888,0.929,0.9289444444444444,0.9291388888888888,0.9315277777777776,0.9312222222222222,0.9313333333333332,0.9311111111111112,0.9315277777777776,0.9323333333333332,0.9325555555555556,0.9328611111111113,0.9323333333333332,0.933,0.9330555555555555
16,0.2252222222222222,0.5313888888888889,0.62475,0.6790833333333334,0.7326111111111111,0.7634722222222222,0.7835833333333333,0.8037222222222222,0.8151666666666667,0.82325,0.8289166666666666,0.83425,0.8370277777777778,0.8406944444444444,0.8418888888888889,0.8431944444444445,0.8459166666666667,0.8492222222222222,0.8567777777777777,0.8730555555555556,0.8913611111111112,0.9024166666666666,0.9089166666666668,0.9116944444444444,0.9134444444444444,0.9161388888888888,0.9174166666666668,0.9182777777777776,0.9199166666666668,0.92075,0.92125,0.9227777777777778,0.9224722222222222,0.9236388888888888,0.9232222222222224,0.9242222222222222,0.9261111111111112,0.9250277777777778,0.9257777777777778,0.9256944444444444,0.9251944444444444,0.9289722222222222,0.9298333333333332,0.9290555555555556,0.9296111111111112,0.9299444444444444,0.9298888888888888,0.9289722222222222,0.9318055555555556,0.9316388888888888,0.9312777777777778,0.9315277777777776,0.9315555555555556,0.9320833333333334,0.9324722222222224,0.9324444444444444,0.9327777777777778,0.9329722222222222,0.9329166666666666
18,0.2252777777777777,0.5258055555555555,0.6232222222222222,0.6801944444444444,0.7293888888888889,0.7656944444444445,0.7892222222222223,0.8066111111111111,0.81475,0.8249722222222222,0.8320277777777778,0.83425,0.8374166666666667,0.8396666666666667,0.8404444444444444,0.8429166666666666,0.8462222222222222,0.8495555555555555,0.8585277777777778,0.8703055555555556,0.8883333333333333,0.9,0.90675,0.9105555555555556,0.9133333333333332,0.9151944444444444,0.9170277777777778,0.9177777777777778,0.9185,0.9192777777777776,0.9202777777777778,0.9217222222222222,0.9207222222222222,0.921,0.92275,0.9223333333333332,0.9243333333333332,0.9251111111111112,0.9252777777777778,0.9249166666666668,0.9249444444444443,0.9285555555555556,0.9289444444444444,0.9286111111111112,0.9290833333333334,0.9293888888888888,0.9285833333333332,0.9298055555555556,0.931,0.93125,0.9313888888888888,0.9310833333333334,0.9312777777777778,0.9320833333333334,0.9323888888888888,0.9324444444444444,0.9333611111111112,0.933,0.9331666666666667
Avg,0.1886347222222222,0.3680361111111111,0.4218944444444444,0.4510861111111111,0.4903833333333333,0.5180319444444444,0.5354069444444445,0.5474527777777778,0.5552833333333334,0.560775,0.5658847222222222,0.5699041666666667,0.5721125,0.5751263888888889,0.5768041666666667,0.5786069444444445,0.5804680555555556,0.5835194444444445,0.5877069444444445,0.5966625,0.6071513888888889,0.6134625,0.6172236111111111,0.6201027777777778,0.6212638888888888,0.6230555555555556,0.6247541666666667,0.6255819444444445,0.6265902777777778,0.6279472222222222,0.6282902777777778,0.6300722222222223,0.6291486111111111,0.6303847222222222,0.6312527777777778,0.6313444444444445,0.6325458333333334,0.6332722222222222,0.6335777777777778,0.6337680555555556,0.6343819444444444,0.6382513888888889,0.6384527777777778,0.6387847222222223,0.6389027777777778,0.6393541666666667,0.6394069444444445,0.6395861111111111,0.6417722222222222,0.6424055555555556,0.6424416666666667,0.6425722222222222,0.6426388888888889,0.6439166666666667,0.6440486111111111,0.6443569444444445,0.6440791666666666,0.6447083333333333,0.6450347222222222
