SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.0916666666666666,0.0942424242424242,0.0919696969696969,0.0921212121212121,0.0928787878787878,0.0924242424242424,0.0968181818181818,0.0924242424242424,0.095,0.0927272727272727,0.0939393939393939,0.0945454545454545,0.0946969696969697,0.0953030303030303,0.0962121212121212,0.098030303030303,0.0972727272727272,0.1003030303030303,0.0996969696969697,0.0981818181818181,0.1,0.0998484848484848,0.1013636363636363,0.1025757575757575,0.1039393939393939,0.1027272727272727,0.1037878787878787,0.1045454545454545,0.1072727272727272,0.108030303030303,0.1083333333333333,0.11363636363636363
-18,0.0924242424242424,0.0931818181818181,0.0986363636363636,0.0977272727272727,0.0984848484848484,0.0972727272727272,0.0974242424242424,0.0989393939393939,0.0978787878787878,0.0978787878787878,0.0968181818181818,0.101060606060606,0.0981818181818181,0.0989393939393939,0.1004545454545454,0.1012121212121212,0.1021212121212121,0.0986363636363636,0.1025757575757575,0.1034848484848484,0.1033333333333333,0.1036363636363636,0.1043939393939394,0.1057575757575757,0.1089393939393939,0.1062121212121212,0.1093939393939393,0.111060606060606,0.1172727272727272,0.1156060606060606,0.1184848484848484,0.11863636363636364
-16,0.0962121212121212,0.0966666666666666,0.0957575757575757,0.0954545454545454,0.0975757575757575,0.1003030303030303,0.1,0.1016666666666666,0.1022727272727272,0.0992424242424242,0.1033333333333333,0.1022727272727272,0.1040909090909091,0.106060606060606,0.1039393939393939,0.1062121212121212,0.1039393939393939,0.1068181818181818,0.1057575757575757,0.1069696969696969,0.1106060606060606,0.113030303030303,0.1177272727272727,0.1142424242424242,0.1131818181818181,0.1171212121212121,0.1198484848484848,0.121060606060606,0.1243939393939393,0.1242424242424242,0.1277272727272727,0.12787878787878787
-14,0.1113636363636363,0.1233333333333333,0.1254545454545454,0.1237878787878788,0.1239393939393939,0.1227272727272727,0.1262121212121212,0.1315151515151515,0.1315151515151515,0.1333333333333333,0.1322727272727272,0.1324242424242424,0.135,0.1369696969696969,0.1371212121212121,0.1357575757575757,0.1372727272727272,0.1403030303030303,0.1398484848484848,0.1451515151515151,0.1427272727272727,0.1475757575757575,0.1524242424242424,0.1521212121212121,0.1527272727272727,0.1542424242424242,0.1574242424242424,0.1636363636363636,0.165,0.1628787878787878,0.175,0.17924242424242423
-12,0.1487878787878787,0.1816666666666666,0.1846969696969697,0.1857575757575757,0.1892424242424242,0.1851515151515151,0.1915151515151515,0.19,0.1895454545454545,0.1845454545454545,0.1762121212121212,0.1753030303030303,0.1804545454545454,0.1807575757575757,0.1803030303030303,0.1842424242424242,0.1869696969696969,0.1869696969696969,0.1878787878787878,0.193030303030303,0.1936363636363636,0.1983333333333333,0.2027272727272727,0.2071212121212121,0.2084848484848485,0.2106060606060606,0.2137878787878787,0.2219696969696969,0.226060606060606,0.2224242424242424,0.2278787878787878,0.23666666666666666
-10,0.2259090909090909,0.2639393939393939,0.26,0.2613636363636363,0.2612121212121212,0.2683333333333333,0.2746969696969697,0.2759090909090909,0.2742424242424242,0.2778787878787879,0.2772727272727273,0.2793939393939394,0.2724242424242424,0.2768181818181818,0.2771212121212121,0.2837878787878788,0.2781818181818182,0.2789393939393939,0.2887878787878788,0.2866666666666667,0.2848484848484848,0.2945454545454545,0.3057575757575758,0.3103030303030303,0.3162121212121212,0.315,0.3215151515151515,0.333030303030303,0.335,0.3440909090909091,0.3363636363636363,0.3528787878787879
-8,0.3246969696969697,0.3778787878787878,0.3753030303030303,0.3836363636363636,0.3840909090909091,0.3922727272727273,0.3946969696969697,0.396969696969697,0.4007575757575757,0.4113636363636364,0.4183333333333333,0.4224242424242424,0.4240909090909091,0.4196969696969697,0.4248484848484848,0.4233333333333333,0.4359090909090909,0.4278787878787878,0.4378787878787878,0.4468181818181818,0.4422727272727272,0.4587878787878788,0.4713636363636364,0.4683333333333333,0.4787878787878787,0.4736363636363636,0.4904545454545455,0.5027272727272727,0.5051515151515151,0.5162121212121212,0.5087878787878788,0.5251515151515151
-6,0.4487878787878788,0.5154545454545455,0.5354545454545454,0.5424242424242425,0.5459090909090909,0.5540909090909091,0.5559090909090909,0.5624242424242424,0.5674242424242424,0.5716666666666667,0.583030303030303,0.5836363636363636,0.5927272727272728,0.6018181818181818,0.6072727272727273,0.610909090909091,0.6218181818181818,0.6256060606060606,0.6275757575757576,0.6327272727272727,0.6366666666666667,0.6575757575757576,0.6603030303030303,0.6692424242424242,0.6631818181818182,0.6706060606060606,0.6678787878787878,0.691969696969697,0.69,0.698030303030303,0.7025757575757576,0.7092424242424242
-4,0.5416666666666666,0.6275757575757576,0.6457575757575758,0.6428787878787878,0.6613636363636364,0.6784848484848485,0.6965151515151515,0.6918181818181818,0.7042424242424242,0.713939393939394,0.7228787878787879,0.7306060606060606,0.7389393939393939,0.7462121212121212,0.755,0.7539393939393939,0.7663636363636364,0.7654545454545455,0.7656060606060606,0.7848484848484848,0.7754545454545455,0.8001515151515152,0.808030303030303,0.8093939393939394,0.8071212121212121,0.8077272727272727,0.8140909090909091,0.8292424242424242,0.8404545454545455,0.8316666666666667,0.8425757575757575,0.8459090909090909
-2,0.5972727272727273,0.6956060606060606,0.7140909090909091,0.7346969696969697,0.7518181818181818,0.7746969696969697,0.7831818181818182,0.786969696969697,0.7907575757575758,0.8013636363636364,0.8265151515151515,0.8345454545454546,0.8409090909090909,0.8472727272727273,0.8539393939393939,0.8454545454545455,0.8562121212121212,0.8574242424242424,0.8687878787878788,0.8690909090909091,0.8668181818181818,0.8810606060606061,0.8843939393939394,0.8881818181818182,0.8874242424242424,0.891969696969697,0.8862121212121212,0.896969696969697,0.9001515151515151,0.9015151515151516,0.9004545454545455,0.9071212121212121
0,0.6309090909090909,0.7333333333333333,0.7522727272727273,0.7778787878787878,0.7983333333333333,0.8175757575757576,0.8275757575757576,0.8337878787878787,0.84,0.8515151515151516,0.8622727272727273,0.8781818181818182,0.8895454545454545,0.8857575757575757,0.894090909090909,0.8978787878787878,0.902121212121212,0.9027272727272728,0.9036363636363636,0.905,0.905,0.9146969696969696,0.9151515151515152,0.917121212121212,0.9128787878787878,0.9174242424242424,0.9153030303030304,0.921060606060606,0.9195454545454546,0.9187878787878788,0.9186363636363636,0.9236363636363636
2,0.6548484848484849,0.7437878787878788,0.7728787878787878,0.7934848484848485,0.818030303030303,0.8353030303030303,0.8383333333333334,0.8418181818181818,0.8478787878787879,0.8601515151515151,0.8751515151515151,0.8880303030303031,0.8972727272727272,0.9024242424242424,0.9027272727272728,0.9101515151515152,0.9113636363636364,0.9143939393939394,0.915,0.9186363636363636,0.9156060606060606,0.9234848484848484,0.9272727272727272,0.9227272727272728,0.9216666666666666,0.9263636363636364,0.9227272727272728,0.9256060606060608,0.9286363636363636,0.9251515151515152,0.926060606060606,0.9268181818181818
4,0.6642424242424242,0.7516666666666667,0.7865151515151515,0.8053030303030303,0.8272727272727273,0.8398484848484848,0.8418181818181818,0.8460606060606061,0.8519696969696969,0.8590909090909091,0.8766666666666667,0.8963636363636364,0.901060606060606,0.9051515151515152,0.9096969696969696,0.912121212121212,0.9122727272727272,0.9143939393939394,0.9157575757575758,0.9162121212121213,0.9146969696969696,0.9206060606060606,0.922878787878788,0.9215151515151516,0.9227272727272728,0.9234848484848484,0.9245454545454546,0.9266666666666666,0.9283333333333332,0.928030303030303,0.9277272727272728,0.9257575757575758
6,0.673030303030303,0.7568181818181818,0.7828787878787878,0.8104545454545454,0.8318181818181818,0.8474242424242424,0.8536363636363636,0.8548484848484849,0.8534848484848485,0.8663636363636363,0.8871212121212121,0.9053030303030304,0.9087878787878788,0.9154545454545454,0.9133333333333332,0.9178787878787878,0.9206060606060606,0.9242424242424242,0.9192424242424242,0.9263636363636364,0.9254545454545454,0.9293939393939394,0.932121212121212,0.9286363636363636,0.9315151515151516,0.926969696969697,0.9295454545454546,0.9348484848484848,0.9318181818181818,0.933939393939394,0.9334848484848484,0.9343939393939394
8,0.6728787878787879,0.7574242424242424,0.7834848484848485,0.8078787878787879,0.8295454545454546,0.8407575757575757,0.8466666666666667,0.8515151515151516,0.8531818181818182,0.8713636363636363,0.8862121212121212,0.8992424242424243,0.91,0.9127272727272728,0.9130303030303032,0.9148484848484848,0.9151515151515152,0.9153030303030304,0.9192424242424242,0.9184848484848483,0.9201515151515152,0.9248484848484848,0.9253030303030304,0.9266666666666666,0.9236363636363636,0.9248484848484848,0.9268181818181818,0.9268181818181818,0.9296969696969696,0.93,0.9290909090909092,0.9284848484848485
10,0.6837878787878788,0.7574242424242424,0.795,0.8116666666666666,0.8353030303030303,0.8407575757575757,0.8515151515151516,0.8568181818181818,0.858030303030303,0.873030303030303,0.8915151515151515,0.9,0.9106060606060606,0.9184848484848483,0.9175757575757576,0.9157575757575758,0.9212121212121211,0.922121212121212,0.9213636363636364,0.9236363636363636,0.9245454545454546,0.9295454545454546,0.9281818181818182,0.931969696969697,0.9298484848484848,0.9312121212121212,0.9304545454545454,0.9312121212121212,0.9340909090909092,0.9312121212121212,0.9318181818181818,0.9312121212121212
12,0.6722727272727272,0.7612121212121212,0.7895454545454546,0.8171212121212121,0.8322727272727273,0.8507575757575757,0.8504545454545455,0.8553030303030303,0.8556060606060606,0.8731818181818182,0.8906060606060606,0.9046969696969696,0.9124242424242424,0.9153030303030304,0.9198484848484848,0.9159090909090908,0.9248484848484848,0.925,0.926060606060606,0.9246969696969696,0.9293939393939394,0.9331818181818182,0.9337878787878788,0.933030303030303,0.9337878787878788,0.9296969696969696,0.9327272727272728,0.9357575757575758,0.9343939393939394,0.9365151515151516,0.9331818181818182,0.9384848484848485
14,0.6743939393939394,0.7633333333333333,0.796060606060606,0.8104545454545454,0.8298484848484848,0.8434848484848485,0.8540909090909091,0.8533333333333334,0.8540909090909091,0.8710606060606061,0.8965151515151515,0.902121212121212,0.9084848484848485,0.917121212121212,0.9201515151515152,0.9253030303030304,0.925,0.927878787878788,0.9254545454545454,0.9253030303030304,0.9304545454545454,0.9348484848484848,0.9377272727272729,0.933030303030303,0.933939393939394,0.9366666666666666,0.9324242424242424,0.9403030303030304,0.9404545454545454,0.9374242424242424,0.936060606060606,0.9365151515151515
16,0.6634848484848485,0.7568181818181818,0.7790909090909091,0.8134848484848485,0.8318181818181818,0.8490909090909091,0.8545454545454545,0.8518181818181818,0.8601515151515151,0.866969696969697,0.8901515151515151,0.9077272727272728,0.9134848484848485,0.9184848484848483,0.9233333333333332,0.9213636363636364,0.9245454545454546,0.9231818181818182,0.9246969696969696,0.9318181818181818,0.928030303030303,0.9315151515151516,0.9342424242424242,0.9322727272727273,0.9331818181818182,0.9351515151515152,0.9324242424242424,0.9345454545454546,0.9368181818181818,0.9366666666666666,0.9357575757575758,0.936969696969697
18,0.673939393939394,0.7712121212121212,0.7887878787878788,0.8137878787878788,0.838030303030303,0.8460606060606061,0.8563636363636363,0.8554545454545455,0.8615151515151516,0.8781818181818182,0.8903030303030303,0.9065151515151516,0.911818181818182,0.9183333333333332,0.923030303030303,0.921969696969697,0.9248484848484848,0.9274242424242424,0.9236363636363636,0.927878787878788,0.9265151515151516,0.933939393939394,0.931969696969697,0.9324242424242424,0.9368181818181818,0.931060606060606,0.933030303030303,0.9368181818181818,0.9337878787878788,0.9359090909090908,0.9346969696969696,0.9336363636363636
Avg,0.4671287878787878,0.5311287878787879,0.5476818181818182,0.5610681818181819,0.573939393939394,0.5838409090909091,0.5895984848484849,0.591469696969697,0.5944772727272727,0.6027424242424242,0.6138560606060606,0.6222196969696969,0.62725,0.6309545454545454,0.6336515151515152,0.6348030303030303,0.6384015151515151,0.63925,0.6409242424242424,0.64425,0.643810606060606,0.651530303030303,0.6548560606060606,0.6553333333333333,0.656,0.6566363636363637,0.658219696969697,0.6644924242424243,0.6664166666666667,0.6669166666666667,0.6677348484848484,0.6716136363636364
