SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-20,0.1048611111111111,0.1038055555555555,0.1062777777777777,0.1060277777777777,0.1072777777777777,0.10425,0.1043333333333333,0.1071944444444444,0.10875,0.1053055555555555,0.1083888888888889,0.1070555555555555,0.1076111111111111,0.1071944444444444,0.1101388888888888,0.10675,0.1084722222222222,0.1106388888888888,0.11025,0.1114166666666666,0.1112777777777777,0.1129166666666666,0.1150833333333333,0.1159444444444444,0.1167222222222222,0.1162222222222222,0.11925,0.1190555555555555,0.1229166666666666,0.1263611111111111,0.1268055555555555,0.1275833333333333,0.13186111111111112
-18,0.1083055555555555,0.1085833333333333,0.1114444444444444,0.1128888888888888,0.1106666666666666,0.1119722222222222,0.1085833333333333,0.1108333333333333,0.1146666666666666,0.1138055555555555,0.1141944444444444,0.1108333333333333,0.1134444444444444,0.1138055555555555,0.1143333333333333,0.1156111111111111,0.1153055555555555,0.1158611111111111,0.1175277777777777,0.1179722222222222,0.1181388888888888,0.1193055555555555,0.1194722222222222,0.1211944444444444,0.1221666666666666,0.1254444444444444,0.1250555555555555,0.1254722222222222,0.1324166666666666,0.1307777777777777,0.1331111111111111,0.135,0.13766666666666666
-16,0.1176388888888888,0.1228611111111111,0.1219722222222222,0.1242777777777777,0.1268611111111111,0.1265833333333333,0.1237222222222222,0.1266666666666666,0.1253888888888888,0.1274444444444444,0.1268611111111111,0.1288055555555555,0.1256666666666666,0.1282222222222222,0.1301111111111111,0.1301666666666666,0.1295,0.1293333333333333,0.1296388888888889,0.1317222222222222,0.1314722222222222,0.1354166666666666,0.1371111111111111,0.1378888888888889,0.138,0.1404444444444444,0.1418888888888889,0.1421666666666666,0.1472222222222222,0.1510555555555555,0.1531944444444444,0.1527777777777778,0.15594444444444444
-14,0.1386111111111111,0.1533055555555555,0.1526944444444444,0.1586388888888888,0.1618888888888889,0.1580277777777777,0.16175,0.1581111111111111,0.1616111111111111,0.1626388888888889,0.1675555555555555,0.1622777777777777,0.1650277777777777,0.16575,0.1651111111111111,0.1634722222222222,0.1662777777777777,0.1665277777777777,0.1683333333333333,0.1675277777777777,0.1714166666666666,0.1741388888888889,0.1775277777777777,0.1756944444444444,0.1783888888888889,0.1794444444444444,0.1823055555555555,0.1834722222222222,0.1899166666666666,0.1931111111111111,0.1930555555555555,0.1957222222222222,0.1996388888888889
-12,0.1984722222222222,0.2113888888888888,0.2095,0.2125,0.2161666666666666,0.2202777777777777,0.2191944444444444,0.2158055555555555,0.2190833333333333,0.2197777777777777,0.2178888888888888,0.2198055555555555,0.2224722222222222,0.2186111111111111,0.22225,0.2203611111111111,0.2245,0.2263611111111111,0.2240833333333333,0.2274444444444444,0.2267777777777777,0.2323611111111111,0.2375277777777777,0.2334444444444444,0.2404166666666666,0.2425277777777778,0.2421111111111111,0.2436944444444444,0.2502222222222222,0.2534444444444444,0.2527222222222222,0.2571111111111111,0.2617777777777778
-10,0.2796944444444444,0.2950277777777778,0.2952222222222222,0.2983888888888888,0.3058888888888889,0.3053611111111111,0.3085,0.3077777777777777,0.3127777777777777,0.3156388888888889,0.3138888888888889,0.3201944444444444,0.3160277777777778,0.3195555555555555,0.3196944444444444,0.3223333333333333,0.3248055555555555,0.3278611111111111,0.3243055555555555,0.3288888888888889,0.3292222222222222,0.3357222222222222,0.3384444444444444,0.3421111111111111,0.3409166666666666,0.3475833333333333,0.3484722222222222,0.3469444444444444,0.3601388888888889,0.3613611111111111,0.3628055555555555,0.3659166666666666,0.3718888888888889
-8,0.3718888888888889,0.4050833333333333,0.4190833333333333,0.4244722222222222,0.4221388888888889,0.4202777777777777,0.4254166666666666,0.4315277777777778,0.4340277777777778,0.4361111111111111,0.4374166666666667,0.4408333333333333,0.4426666666666666,0.4446666666666666,0.4455277777777778,0.4488333333333333,0.4518333333333333,0.4501666666666666,0.4558055555555556,0.4549444444444444,0.4599444444444444,0.4686944444444444,0.4735833333333333,0.4763055555555555,0.4781388888888889,0.4813055555555555,0.4808888888888888,0.4830277777777778,0.4964722222222222,0.4965277777777778,0.4986944444444444,0.4995833333333333,0.50975
-6,0.4863611111111111,0.5378333333333334,0.5624722222222223,0.5736111111111111,0.57625,0.5832222222222222,0.5854166666666667,0.5904166666666667,0.5910555555555556,0.594,0.6009722222222222,0.5986388888888889,0.6033611111111111,0.6035277777777778,0.6079722222222222,0.6115833333333334,0.6144166666666667,0.6155277777777778,0.6172222222222222,0.6204722222222222,0.6234722222222222,0.6386111111111111,0.6380833333333333,0.6435833333333333,0.6467777777777778,0.6455555555555555,0.6530833333333333,0.6565,0.6643888888888889,0.66725,0.67075,0.6726111111111112,0.6825555555555556
-4,0.5933888888888889,0.6737222222222222,0.7181944444444445,0.7340833333333333,0.7445833333333334,0.7508333333333334,0.7571388888888889,0.7587222222222222,0.7638888888888888,0.7684444444444445,0.7701111111111111,0.7731111111111111,0.7751388888888889,0.7798333333333334,0.7808888888888889,0.7849444444444444,0.7853888888888889,0.787,0.7904722222222222,0.7949166666666667,0.7929444444444445,0.8056666666666666,0.8099444444444445,0.8126388888888889,0.8136666666666666,0.8161111111111111,0.816,0.8206666666666667,0.8279722222222222,0.8296944444444444,0.8296666666666667,0.8326944444444444,0.8365
-2,0.6713611111111111,0.7857777777777778,0.84225,0.8578055555555556,0.8613888888888889,0.8679166666666667,0.8728055555555555,0.8755555555555555,0.8785833333333334,0.879,0.8816388888888889,0.8822222222222222,0.8864444444444445,0.8860555555555556,0.8855833333333333,0.8875,0.8905555555555555,0.8905,0.8920277777777778,0.8930277777777778,0.8928333333333334,0.9001111111111111,0.9003611111111111,0.9004722222222222,0.9014166666666666,0.9035277777777778,0.9031944444444444,0.9045833333333332,0.90825,0.9085277777777778,0.9092777777777776,0.9107777777777778,0.9123055555555556
0,0.7208055555555556,0.8413333333333334,0.8962222222222223,0.9054444444444444,0.9089722222222222,0.9128333333333334,0.9126666666666666,0.9145833333333332,0.9163888888888888,0.9178055555555557,0.9186666666666666,0.9185,0.91925,0.9198055555555557,0.9208888888888888,0.921,0.9215833333333332,0.9232222222222224,0.92175,0.9227777777777778,0.92225,0.9260555555555556,0.9254166666666668,0.9258055555555555,0.9262777777777778,0.9258055555555555,0.9263611111111112,0.9256944444444444,0.9274722222222224,0.9283055555555556,0.9285555555555556,0.9283055555555556,0.9285277777777777
2,0.7451944444444445,0.8606388888888888,0.91,0.9160277777777778,0.9218055555555555,0.9223055555555556,0.9244444444444444,0.9246944444444444,0.9270833333333334,0.9258611111111112,0.9270833333333334,0.9270833333333334,0.9282222222222222,0.9280555555555556,0.9291111111111112,0.9293888888888888,0.929,0.9293611111111112,0.9300277777777778,0.9298888888888888,0.9306388888888888,0.9327222222222222,0.9318611111111113,0.9322222222222222,0.9314722222222224,0.93225,0.93275,0.9320555555555556,0.9335277777777776,0.9324722222222224,0.9336944444444444,0.9337777777777778,0.9333888888888889
4,0.75075,0.8643611111111111,0.9157777777777778,0.9227222222222222,0.9254444444444444,0.9258888888888888,0.9274166666666668,0.9278055555555556,0.9292777777777778,0.9291111111111112,0.9297222222222222,0.9303333333333332,0.9310555555555556,0.9314722222222224,0.9318055555555556,0.9318611111111113,0.9305833333333332,0.9320277777777778,0.9323055555555556,0.9324722222222224,0.9324722222222224,0.9336944444444444,0.9337777777777778,0.9336944444444444,0.9335833333333332,0.9331666666666668,0.9341666666666668,0.9337222222222222,0.9342222222222222,0.9338888888888888,0.9349722222222222,0.9335555555555556,0.9341944444444444
6,0.7576944444444444,0.8694166666666666,0.9205277777777776,0.9256388888888888,0.9284166666666668,0.9291666666666668,0.9311944444444444,0.9306666666666666,0.9318888888888888,0.9336666666666666,0.93375,0.9335,0.9334444444444444,0.9349166666666666,0.9346944444444444,0.9336388888888888,0.93375,0.9347777777777778,0.9344166666666668,0.9346111111111112,0.9335555555555556,0.9365555555555556,0.9361944444444444,0.9368888888888888,0.93625,0.9353611111111112,0.9360277777777778,0.9356944444444444,0.9368333333333332,0.93625,0.9364444444444444,0.9371388888888889,0.9378333333333333
8,0.7615,0.8704166666666666,0.9204166666666668,0.9285277777777776,0.9283055555555556,0.9315277777777776,0.9321388888888889,0.9311388888888888,0.933,0.9345833333333332,0.934,0.93425,0.9346388888888888,0.9344444444444444,0.9360833333333334,0.9349166666666666,0.9347222222222222,0.9347777777777778,0.9351944444444444,0.9365,0.9345555555555556,0.9366944444444444,0.9368888888888888,0.9368055555555556,0.9369722222222222,0.9368888888888888,0.9370555555555556,0.9369722222222222,0.9373333333333334,0.9375,0.9384722222222224,0.9375277777777776,0.9383055555555555
10,0.7587222222222222,0.8737777777777778,0.9250833333333334,0.9297777777777778,0.9336111111111112,0.9346666666666666,0.9344444444444444,0.9354722222222224,0.9358055555555556,0.9363888888888888,0.9373333333333334,0.9363055555555556,0.9375555555555556,0.9375,0.9383888888888888,0.9382777777777778,0.9374444444444444,0.9376111111111112,0.9380833333333334,0.9380277777777778,0.9373611111111112,0.9389166666666666,0.9390555555555556,0.93925,0.9391388888888887,0.9391666666666668,0.9396666666666668,0.9403055555555556,0.9389444444444444,0.9392777777777778,0.9413333333333334,0.9406944444444444,0.9400833333333334
12,0.7596666666666667,0.8748611111111111,0.9222777777777778,0.9304444444444444,0.9335,0.9332222222222222,0.9343611111111112,0.9335277777777776,0.9363611111111112,0.9355833333333332,0.9363333333333334,0.9376388888888888,0.9360277777777778,0.93725,0.9386111111111112,0.9390833333333334,0.9386388888888888,0.9383055555555556,0.9385277777777776,0.9383888888888888,0.9380277777777778,0.9386666666666666,0.9385833333333332,0.9385833333333332,0.9403611111111112,0.9405555555555556,0.9384722222222224,0.9401666666666668,0.9406944444444444,0.9408611111111111,0.93975,0.9402222222222222,0.9414166666666667
14,0.7614166666666666,0.8746666666666667,0.9244722222222224,0.9290555555555556,0.9326666666666666,0.9342777777777778,0.93525,0.9358055555555556,0.936,0.937,0.9381388888888887,0.937,0.9385833333333332,0.9379444444444444,0.9399444444444444,0.9386111111111112,0.9392222222222222,0.9385833333333332,0.9401111111111112,0.9389166666666666,0.9393055555555556,0.9402777777777778,0.9405833333333332,0.93975,0.9408611111111111,0.9413055555555556,0.9412222222222222,0.9421388888888887,0.942,0.9416388888888888,0.9420555555555556,0.9417777777777778,0.9430833333333334
16,0.7636111111111111,0.8772777777777778,0.928,0.9343888888888888,0.9362777777777778,0.9365,0.9390277777777778,0.94075,0.9406944444444444,0.9408611111111111,0.9406388888888888,0.9407222222222222,0.9419444444444444,0.94175,0.9422777777777778,0.9429722222222222,0.9430833333333334,0.9421944444444444,0.9441111111111112,0.9426944444444444,0.9418333333333332,0.94525,0.9452222222222222,0.9441111111111112,0.9454166666666668,0.9455,0.9439444444444444,0.9456666666666668,0.9448333333333332,0.9464444444444444,0.9465555555555556,0.9464444444444444,0.9457222222222222
18,0.7634722222222222,0.8784166666666666,0.9283611111111112,0.9341111111111112,0.9378055555555556,0.9390277777777778,0.9417777777777778,0.9403333333333334,0.94,0.9416666666666668,0.9424722222222224,0.9417222222222222,0.9416111111111112,0.9421388888888887,0.9424444444444444,0.9410833333333334,0.9432222222222222,0.9431388888888887,0.9435,0.9434722222222224,0.944,0.9453055555555556,0.9451666666666668,0.9454444444444444,0.9458333333333332,0.9449444444444444,0.9462777777777778,0.9455,0.9465277777777776,0.9466944444444444,0.9480277777777778,0.9469722222222222,0.9472777777777778
Avg,0.5306708333333333,0.6041277777777778,0.6365125,0.6429416666666666,0.6459958333333333,0.6474069444444445,0.6489791666666667,0.6498694444444445,0.6518166666666667,0.6527347222222222,0.6538527777777777,0.6540416666666666,0.6550097222222222,0.655625,0.6567930555555556,0.6571194444444445,0.6581152777777778,0.6586888888888889,0.6593847222222222,0.6603041666666667,0.660575,0.6648541666666666,0.6659944444444444,0.6665916666666667,0.6676388888888889,0.6686555555555556,0.6694097222222222,0.670175,0.6741152777777778,0.6750722222222222,0.6759972222222222,0.6768097222222222,0.6794861111111111
