SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-20,0.1081944444444444,0.1031111111111111,0.1065555555555555,0.1061944444444444,0.1074166666666666,0.1074722222222222,0.1075277777777777,0.1083611111111111,0.1078055555555555,0.1079444444444444,0.1092777777777777,0.1087222222222222,0.1131111111111111,0.1170833333333333,0.1185,0.1219444444444444,0.12375,0.1275277777777777,0.1284444444444444,0.1274166666666666,0.1394722222222222,0.1401944444444444,0.1448055555555555,0.1478333333333333,0.1482777777777777,0.1633055555555555,0.1635833333333333,0.1680277777777777,0.1678888888888889,0.1711944444444444,0.1813888888888888,0.1814166666666666,0.1851111111111111,0.1871111111111111,0.1953055555555555,0.1935277777777777,0.1968888888888889,0.1953888888888889,0.19725,0.2023055555555555,0.1976666666666666,0.1995,0.1996944444444444,0.1983888888888889,0.1983055555555555,0.1973888888888889,0.2000555555555555,0.2041388888888889,0.20191666666666666
-18,0.1095833333333333,0.1081111111111111,0.1089722222222222,0.1128055555555555,0.11275,0.1111388888888888,0.1111388888888888,0.1141111111111111,0.1125555555555555,0.1144166666666666,0.1150277777777777,0.1184722222222222,0.1208055555555555,0.1331388888888889,0.14125,0.1468888888888889,0.1525555555555555,0.1573611111111111,0.1626666666666666,0.1669166666666666,0.1869722222222222,0.1959166666666666,0.1997222222222222,0.2005833333333333,0.2058333333333333,0.2218611111111111,0.22525,0.2290833333333333,0.2309444444444444,0.2325277777777777,0.2423333333333333,0.2448888888888888,0.2465277777777778,0.24625,0.2526944444444444,0.2530833333333333,0.2541388888888889,0.2564444444444444,0.2571666666666666,0.2574722222222222,0.2563888888888889,0.2575833333333333,0.2598333333333333,0.2585833333333333,0.2580833333333333,0.2584444444444444,0.2600833333333333,0.26,0.2585277777777778
-16,0.1155277777777777,0.1213333333333333,0.1215833333333333,0.1229722222222222,0.1206111111111111,0.1212777777777777,0.1223888888888889,0.1254444444444444,0.1275833333333333,0.1283333333333333,0.1270555555555555,0.1305555555555555,0.1374722222222222,0.1516944444444444,0.1661666666666666,0.172,0.1808611111111111,0.1895277777777777,0.1943333333333333,0.2023055555555555,0.2203611111111111,0.2275277777777777,0.2312777777777777,0.2328333333333333,0.2381666666666666,0.2504444444444444,0.2517222222222222,0.2518888888888889,0.2558055555555555,0.2544444444444444,0.2596666666666666,0.2624444444444444,0.2661666666666666,0.2634166666666667,0.2709166666666666,0.2658888888888889,0.2701944444444444,0.2689166666666667,0.2720833333333333,0.26875,0.2704166666666667,0.2731944444444444,0.2732777777777778,0.2738611111111111,0.2719166666666666,0.2714166666666666,0.2717222222222222,0.2722222222222222,0.27458333333333335
-14,0.1399166666666666,0.153,0.15225,0.1541111111111111,0.1574166666666666,0.1543333333333333,0.1579722222222222,0.1592777777777777,0.1605833333333333,0.1606111111111111,0.1627222222222222,0.1691666666666666,0.1765,0.1898888888888888,0.1986111111111111,0.2096388888888889,0.2181111111111111,0.2278333333333333,0.2291111111111111,0.2345,0.2473611111111111,0.2483333333333333,0.2539166666666667,0.2497777777777777,0.2518333333333333,0.2628055555555555,0.2640833333333333,0.2610555555555555,0.2641111111111111,0.2659722222222222,0.2691111111111111,0.2711944444444444,0.2709444444444444,0.2731388888888889,0.2758055555555556,0.2758888888888889,0.2768055555555556,0.2754444444444444,0.2746666666666666,0.2779166666666666,0.2760277777777777,0.2758333333333333,0.2790277777777777,0.2797777777777778,0.2785833333333333,0.2775555555555555,0.2768888888888889,0.2803333333333333,0.28005555555555556
-12,0.1919444444444444,0.2012222222222222,0.2103888888888888,0.2131666666666666,0.2136111111111111,0.2130555555555555,0.2150833333333333,0.2174722222222222,0.21525,0.21975,0.2171111111111111,0.2266944444444444,0.2333333333333333,0.2468611111111111,0.2523888888888889,0.2589444444444444,0.2652222222222222,0.2673055555555556,0.2673611111111111,0.2729722222222222,0.283,0.2829166666666666,0.2863888888888889,0.2863055555555555,0.286,0.2951944444444444,0.2946111111111111,0.2979722222222222,0.2982222222222222,0.2994444444444444,0.3043055555555555,0.3051666666666666,0.3044722222222222,0.3081666666666666,0.3093611111111111,0.3101388888888889,0.3102222222222222,0.3116111111111111,0.3141388888888889,0.3134444444444444,0.3130277777777778,0.3146944444444444,0.3151388888888889,0.3155555555555555,0.3148055555555555,0.3127222222222222,0.3179444444444444,0.3187222222222222,0.3166388888888889
-10,0.28225,0.2874722222222222,0.2839444444444444,0.2938611111111111,0.3021111111111111,0.3016666666666667,0.3043888888888889,0.3071111111111111,0.3113888888888889,0.3127222222222222,0.3157222222222222,0.3216944444444444,0.3310833333333333,0.3358888888888889,0.3472777777777778,0.3483055555555555,0.3527777777777778,0.3528333333333333,0.35525,0.3573055555555555,0.3706388888888889,0.3731944444444444,0.3754166666666667,0.3791666666666666,0.3782222222222222,0.3856666666666666,0.3896111111111111,0.3920277777777777,0.3886388888888888,0.3938055555555556,0.4005555555555555,0.4001111111111111,0.4014444444444444,0.4034722222222222,0.4040277777777777,0.4096111111111111,0.4091388888888889,0.4084444444444444,0.4109166666666666,0.4091111111111111,0.4083333333333333,0.41,0.4086111111111111,0.4104444444444444,0.4121111111111111,0.4120555555555555,0.4140833333333333,0.4151111111111111,0.41530555555555554
-8,0.3689166666666666,0.3946388888888889,0.3930277777777777,0.3938888888888889,0.4091388888888889,0.4160555555555555,0.4171388888888889,0.4192222222222222,0.4253333333333333,0.4343611111111111,0.439,0.4397222222222222,0.4466388888888888,0.4515555555555555,0.4578611111111111,0.4641666666666666,0.4667777777777778,0.4718333333333333,0.4761944444444444,0.4745833333333333,0.4968055555555555,0.4978055555555555,0.4988611111111111,0.5050555555555556,0.5065,0.5198055555555555,0.5200277777777778,0.5238888888888888,0.5221666666666667,0.5250555555555556,0.5355833333333333,0.5331944444444444,0.5311111111111111,0.53375,0.5422222222222223,0.54175,0.5414166666666667,0.5424166666666667,0.5450555555555555,0.5440277777777778,0.5438333333333333,0.5425,0.5446666666666666,0.5441666666666667,0.5442222222222223,0.5475277777777777,0.5475833333333333,0.5453611111111111,0.5471388888888888
-6,0.4717222222222222,0.5320555555555555,0.5494444444444444,0.5573333333333333,0.5633055555555555,0.5636944444444445,0.5701666666666667,0.5731944444444445,0.5830277777777778,0.5869722222222222,0.59225,0.59325,0.5985555555555555,0.6047222222222223,0.6093611111111111,0.61375,0.6161111111111112,0.6220555555555556,0.6246666666666667,0.63,0.6428888888888888,0.6501111111111111,0.6488611111111111,0.6531666666666667,0.6581388888888889,0.6688888888888889,0.6689444444444445,0.6734722222222222,0.6741111111111111,0.6770833333333334,0.6816388888888889,0.6826111111111111,0.6834444444444444,0.6851944444444444,0.6874444444444444,0.6894722222222223,0.6903055555555555,0.6948055555555556,0.6922777777777778,0.6945277777777777,0.6924166666666667,0.6948333333333333,0.6940277777777778,0.6950833333333334,0.6969444444444445,0.6962222222222222,0.6965,0.6958888888888889,0.696
-4,0.5988333333333333,0.6672222222222223,0.7034722222222223,0.7153611111111111,0.7208611111111111,0.7297777777777777,0.7364722222222222,0.7396944444444444,0.7449166666666667,0.7454166666666666,0.7531944444444445,0.7559166666666667,0.7566388888888889,0.7646111111111111,0.76625,0.7674166666666666,0.7709444444444444,0.7746666666666666,0.7781666666666667,0.7805,0.7936944444444445,0.7969722222222222,0.8001944444444444,0.8034444444444444,0.8042222222222222,0.8133055555555555,0.8170833333333334,0.8185277777777777,0.8189166666666666,0.8221388888888889,0.8279444444444445,0.8261944444444445,0.8279444444444445,0.8295277777777778,0.8325555555555556,0.83225,0.8338888888888889,0.8345555555555556,0.8351388888888889,0.8360833333333333,0.8355833333333333,0.8370555555555556,0.8341944444444445,0.8354166666666667,0.8360833333333333,0.8366666666666667,0.8381111111111111,0.8373888888888888,0.8372777777777778
-2,0.7044722222222223,0.7866944444444445,0.8204722222222223,0.8371111111111111,0.8445,0.8510833333333333,0.85625,0.8594722222222222,0.8622777777777778,0.865,0.8670833333333333,0.87125,0.8724166666666666,0.8737777777777778,0.8751388888888889,0.8786666666666667,0.8832222222222222,0.8828055555555555,0.8827222222222222,0.8858611111111111,0.8936944444444445,0.897,0.8965833333333333,0.8973055555555556,0.8985277777777778,0.9028055555555556,0.9053333333333332,0.9040555555555556,0.9039722222222222,0.9043611111111112,0.9076666666666666,0.9076944444444444,0.9093333333333332,0.9095277777777778,0.9110277777777778,0.9103611111111112,0.9116388888888888,0.9125555555555556,0.9117777777777778,0.9121388888888888,0.9113611111111112,0.9105555555555556,0.9120555555555556,0.9122777777777776,0.9125277777777778,0.9121111111111112,0.9116944444444444,0.9119444444444444,0.9117777777777778
0,0.768,0.8553333333333333,0.8859166666666667,0.8964166666666666,0.9013333333333332,0.9055277777777778,0.908,0.91,0.9099722222222222,0.9120277777777778,0.9152777777777776,0.9149444444444444,0.9154722222222222,0.9181111111111112,0.9173055555555556,0.9190555555555556,0.9194166666666668,0.9203611111111112,0.9224444444444444,0.9208333333333332,0.9233333333333332,0.92475,0.9245833333333332,0.9254444444444444,0.925,0.9273333333333332,0.9276111111111112,0.9285555555555556,0.9277777777777778,0.9286111111111112,0.9287777777777778,0.9284722222222224,0.9289444444444444,0.9297222222222222,0.9306944444444444,0.9297222222222222,0.931,0.9301388888888888,0.9303611111111112,0.9306944444444444,0.9304722222222224,0.9316666666666666,0.9301388888888888,0.9297777777777778,0.9306388888888888,0.9305,0.9300833333333334,0.9310833333333334,0.9303055555555556
2,0.7996388888888889,0.8811111111111111,0.9081388888888888,0.9143333333333332,0.9177777777777778,0.9204444444444444,0.9228333333333332,0.9230833333333334,0.9244722222222224,0.9246388888888888,0.9257222222222222,0.9251388888888888,0.9264444444444444,0.9278333333333332,0.9278888888888888,0.929,0.9285833333333332,0.92875,0.9286666666666666,0.9299444444444444,0.9311388888888888,0.9308888888888888,0.9311666666666668,0.9308611111111113,0.9314722222222224,0.9319444444444444,0.9328055555555556,0.9322777777777778,0.9328333333333332,0.9331944444444444,0.9331944444444444,0.9332222222222222,0.93325,0.9338055555555556,0.9329722222222222,0.9342222222222222,0.9334166666666668,0.9340555555555556,0.9344722222222224,0.9339444444444444,0.9337777777777778,0.9340555555555556,0.934,0.9333888888888888,0.9338055555555556,0.9346388888888888,0.9340277777777778,0.9353611111111112,0.9329444444444445
4,0.8055,0.888,0.9123888888888888,0.92025,0.9236944444444444,0.9256388888888888,0.9264166666666668,0.92925,0.9278888888888888,0.9294722222222224,0.9289722222222222,0.9291666666666668,0.93025,0.9314444444444444,0.9313611111111112,0.9310277777777778,0.9308055555555556,0.9310555555555556,0.9315555555555556,0.9313055555555556,0.9334166666666668,0.9329722222222222,0.9342222222222222,0.9336944444444444,0.9334444444444444,0.9345,0.9337777777777778,0.9339722222222222,0.9341666666666668,0.9335833333333332,0.9345555555555556,0.93425,0.9331666666666668,0.9347222222222222,0.9348055555555556,0.9343611111111112,0.9351666666666668,0.9347222222222222,0.9346944444444444,0.9346111111111112,0.93525,0.9347777777777778,0.935,0.9340833333333334,0.9348333333333332,0.9347777777777778,0.9350277777777778,0.9354722222222224,0.9353888888888889
6,0.8118055555555556,0.8905,0.9158333333333334,0.9228333333333332,0.9251388888888888,0.9280833333333334,0.92875,0.9306666666666666,0.9304722222222224,0.93025,0.9320555555555556,0.9320833333333334,0.9334444444444444,0.9331944444444444,0.9321388888888889,0.9340833333333334,0.9340277777777778,0.9330833333333334,0.9338888888888888,0.93325,0.9343611111111112,0.9341944444444444,0.9346944444444444,0.9362777777777778,0.93475,0.9367777777777778,0.9356666666666666,0.9355833333333332,0.9351666666666668,0.9355,0.93575,0.9365,0.9365,0.9368888888888888,0.936,0.9366111111111112,0.93625,0.9369722222222222,0.9364166666666668,0.9373611111111112,0.9367777777777778,0.9365277777777776,0.9372222222222222,0.9368055555555556,0.9364166666666668,0.93675,0.9367222222222222,0.9368611111111113,0.9365277777777777
8,0.8111944444444444,0.8925833333333333,0.9171388888888888,0.9237777777777778,0.9277222222222222,0.9280277777777778,0.9291944444444444,0.9300833333333334,0.9316944444444444,0.9320277777777778,0.9323611111111112,0.9320277777777778,0.9329722222222222,0.9335555555555556,0.9341388888888889,0.9336944444444444,0.9345277777777776,0.9336111111111112,0.9338888888888888,0.9346944444444444,0.93575,0.9358055555555556,0.9371944444444444,0.9359444444444444,0.9356944444444444,0.9368888888888888,0.9356944444444444,0.9365833333333332,0.9364444444444444,0.9368888888888888,0.9369722222222222,0.9368888888888888,0.9371666666666668,0.9364722222222224,0.9377222222222222,0.9378055555555556,0.9372777777777778,0.9372222222222222,0.9372777777777778,0.9379444444444444,0.9376944444444444,0.9375555555555556,0.9371388888888889,0.9371111111111112,0.9368055555555556,0.9381666666666668,0.9369722222222222,0.93625,0.9376944444444445
10,0.8087777777777778,0.89475,0.9190555555555556,0.9249444444444443,0.9275,0.9301388888888888,0.931,0.9314166666666668,0.9333055555555556,0.9333055555555556,0.9335277777777776,0.9346666666666666,0.9343888888888888,0.9343888888888888,0.9354444444444444,0.9353611111111112,0.9371944444444444,0.9365277777777776,0.9348888888888888,0.9359444444444444,0.9385277777777776,0.9378888888888888,0.9372222222222222,0.9378888888888888,0.9366666666666666,0.9375833333333332,0.93775,0.9373055555555556,0.9364722222222224,0.938,0.9381111111111112,0.9386111111111112,0.9388333333333332,0.9378611111111111,0.9375277777777776,0.9383055555555556,0.9385,0.9379722222222222,0.9380555555555556,0.9373888888888888,0.9382777777777778,0.9385833333333332,0.9379444444444444,0.9375,0.9380833333333334,0.9384444444444444,0.9383333333333334,0.9375833333333332,0.9375277777777777
12,0.81175,0.8947777777777778,0.9160833333333334,0.9238333333333332,0.9257222222222222,0.9283888888888888,0.9286666666666666,0.9308333333333332,0.9317222222222222,0.9321111111111112,0.9341944444444444,0.9340277777777778,0.9339444444444444,0.9336388888888888,0.9341111111111112,0.9348888888888888,0.9358611111111113,0.9356388888888888,0.9340833333333334,0.9359166666666666,0.9363055555555556,0.9362222222222222,0.9368333333333332,0.9365555555555556,0.9363611111111112,0.9383611111111112,0.9376944444444444,0.9366944444444444,0.9375555555555556,0.9375,0.9377777777777778,0.938,0.9368888888888888,0.9390277777777778,0.9388055555555556,0.9377777777777778,0.9369166666666666,0.9383888888888888,0.9373888888888888,0.9381666666666668,0.9390277777777778,0.9381944444444444,0.9395555555555556,0.9396944444444444,0.9380277777777778,0.9385555555555556,0.9375833333333332,0.93875,0.9381111111111111
14,0.8094166666666667,0.8939166666666667,0.9165833333333332,0.9238055555555555,0.92675,0.9286388888888888,0.9301944444444444,0.9310833333333334,0.9329166666666666,0.9323611111111112,0.9336388888888888,0.9348055555555556,0.9336388888888888,0.9351666666666668,0.9359166666666666,0.9348333333333332,0.9343055555555556,0.9358611111111113,0.93425,0.9364444444444444,0.9366111111111112,0.93775,0.9371388888888889,0.9377777777777778,0.9376666666666666,0.9373888888888888,0.9394722222222224,0.9396944444444444,0.9383055555555556,0.9386111111111112,0.9389722222222222,0.9396666666666668,0.9395277777777776,0.9390277777777778,0.9407222222222222,0.9396944444444444,0.9398611111111111,0.9391388888888887,0.9401666666666668,0.9399722222222222,0.9401944444444444,0.9388333333333332,0.9388333333333332,0.9403888888888888,0.94,0.9396666666666668,0.9404722222222224,0.9388611111111111,0.9393611111111111
16,0.8143611111111111,0.892,0.9173333333333332,0.9245,0.9268611111111112,0.9284722222222224,0.9300833333333334,0.9317777777777778,0.9322777777777778,0.9333888888888888,0.9328333333333332,0.9337222222222222,0.9336111111111112,0.9321111111111112,0.9338055555555556,0.9338333333333332,0.9341111111111112,0.9355555555555556,0.9338055555555556,0.9345,0.9358611111111113,0.9351666666666668,0.9360833333333334,0.9351111111111112,0.9349444444444444,0.9372777777777778,0.9364722222222224,0.9360555555555556,0.9365,0.9360833333333334,0.9373055555555556,0.9375277777777776,0.9384444444444444,0.9370555555555556,0.9383055555555556,0.9392222222222222,0.9371388888888889,0.9395555555555556,0.9385555555555556,0.938,0.9395277777777776,0.9367777777777778,0.93825,0.9381666666666668,0.9378055555555556,0.9380277777777778,0.9393333333333334,0.9386388888888888,0.9372777777777778
18,0.8103055555555555,0.89175,0.9150277777777778,0.92325,0.92575,0.9278333333333332,0.9301666666666668,0.9293611111111112,0.9305277777777776,0.93225,0.9331388888888889,0.9321111111111112,0.9336944444444444,0.9333333333333332,0.9350555555555556,0.9340833333333334,0.9331388888888889,0.9341111111111112,0.9357222222222222,0.9352222222222222,0.9356944444444444,0.93525,0.9367222222222222,0.93425,0.9361111111111112,0.9394166666666668,0.9367777777777778,0.9376111111111112,0.9373888888888888,0.9367777777777778,0.9368055555555556,0.9372222222222222,0.9387222222222222,0.9385277777777776,0.9395,0.9381111111111112,0.9390555555555556,0.9386666666666666,0.9373055555555556,0.9381666666666668,0.9380555555555556,0.93875,0.9389166666666666,0.9400277777777778,0.9371944444444444,0.93825,0.9383888888888888,0.9413611111111112,0.9396944444444445
Avg,0.5571055555555555,0.6114791666666667,0.6286805555555556,0.6352375,0.6389986111111111,0.6410375,0.6431916666666667,0.6450458333333333,0.6467986111111111,0.6483680555555555,0.6500083333333333,0.6519069444444444,0.6547208333333333,0.6591,0.6624986111111111,0.6650791666666667,0.6676152777777777,0.6699152777777778,0.6711055555555555,0.6730208333333333,0.6807944444444445,0.6825430555555555,0.6840944444444444,0.6849638888888889,0.6858916666666667,0.6920777777777778,0.6926986111111111,0.6937166666666666,0.6938694444444444,0.6950388888888889,0.6984208333333334,0.6987638888888889,0.6993972222222222,0.7001333333333334,0.7024208333333334,0.7023902777777777,0.7029611111111111,0.7033708333333333,0.7037583333333334,0.7041013888888888,0.7037055555555556,0.7040736111111111,0.7043763888888889,0.704525,0.7043597222222222,0.7044944444444444,0.7050805555555556,0.7055666666666667,0.7052027777777777
