SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-20,0.10325,0.1037777777777777,0.103,0.1050277777777777,0.1063333333333333,0.1055833333333333,0.1069722222222222,0.1066666666666666,0.1032222222222222,0.1085,0.1081666666666666,0.1048611111111111,0.10575,0.10975,0.1064722222222222,0.1073888888888889,0.1057777777777777,0.1066388888888889,0.107,0.1081944444444444,0.1055833333333333,0.1085,0.1097777777777777,0.1074722222222222,0.10825,0.1089166666666666,0.108,0.1118888888888888,0.1085277777777777,0.1078611111111111,0.1089722222222222,0.1138055555555555,0.1115277777777777,0.1129166666666666,0.1116111111111111,0.1142777777777777,0.1144444444444444,0.1156944444444444,0.11525,0.1159444444444444,0.1148333333333333,0.11738888888888889
-18,0.1110555555555555,0.1076666666666666,0.1083888888888889,0.1080555555555555,0.10925,0.1108888888888888,0.1093055555555555,0.1085,0.111,0.1111666666666666,0.1111111111111111,0.1100277777777777,0.1106388888888888,0.1130555555555555,0.1119444444444444,0.1108055555555555,0.1104444444444444,0.1120277777777777,0.1136388888888888,0.1112777777777777,0.1113055555555555,0.11275,0.1141111111111111,0.1122222222222222,0.1145555555555555,0.1133055555555555,0.1133055555555555,0.1148055555555555,0.1148333333333333,0.1173888888888888,0.11675,0.11775,0.1176666666666666,0.1184166666666666,0.1164722222222222,0.1191111111111111,0.1195277777777777,0.1205277777777777,0.1216944444444444,0.1216666666666666,0.1219722222222222,0.12144444444444444
-16,0.1155833333333333,0.1165277777777777,0.1203333333333333,0.1205833333333333,0.1196944444444444,0.12025,0.1211944444444444,0.1213055555555555,0.1238611111111111,0.1240555555555555,0.1239444444444444,0.1226111111111111,0.1218888888888889,0.1218055555555555,0.1222777777777777,0.1248888888888888,0.1245833333333333,0.1243611111111111,0.1256666666666666,0.1255555555555555,0.1264444444444444,0.1271666666666666,0.1289722222222222,0.1278333333333333,0.1273055555555555,0.1287222222222222,0.1280833333333333,0.1293611111111111,0.1315555555555555,0.1274444444444444,0.1290555555555555,0.1345833333333333,0.1338055555555555,0.1328055555555555,0.1321666666666666,0.1325555555555555,0.13525,0.13475,0.1366666666666666,0.1370555555555555,0.1350555555555555,0.1385
-14,0.1335277777777777,0.1497777777777778,0.1522777777777778,0.15625,0.1527222222222222,0.1557777777777777,0.1563055555555555,0.1558333333333333,0.1565833333333333,0.1586111111111111,0.1578055555555555,0.1586111111111111,0.1573055555555555,0.1606944444444444,0.1608888888888889,0.1574444444444444,0.1589722222222222,0.161,0.1608333333333333,0.1656111111111111,0.1646944444444444,0.1630277777777777,0.1636388888888889,0.164,0.1654166666666666,0.1638333333333333,0.1699722222222222,0.1669722222222222,0.1671388888888889,0.1680555555555555,0.1684722222222222,0.1674722222222222,0.17075,0.1725555555555555,0.17025,0.1712777777777777,0.1754722222222222,0.1748055555555555,0.1770555555555555,0.1756388888888889,0.1726666666666666,0.1766388888888889
-12,0.1793333333333333,0.2123333333333333,0.2103888888888888,0.2108888888888888,0.2064166666666666,0.2084722222222222,0.2112777777777778,0.2153333333333333,0.2148888888888888,0.2134166666666666,0.2173333333333333,0.2127222222222222,0.2157777777777778,0.2153333333333333,0.2159166666666666,0.2171111111111111,0.2201111111111111,0.219,0.2197777777777777,0.2236111111111111,0.2258055555555555,0.2245277777777777,0.2242222222222222,0.2245555555555555,0.2248333333333333,0.2272777777777777,0.2247222222222222,0.2245,0.2256944444444444,0.22725,0.2266388888888889,0.2286111111111111,0.2322222222222222,0.2297222222222222,0.2305277777777777,0.2326944444444444,0.2340277777777777,0.2326666666666666,0.2328611111111111,0.2368055555555555,0.2373055555555555,0.2388611111111111
-10,0.2592777777777778,0.2817777777777778,0.2751111111111111,0.2859444444444444,0.2861944444444444,0.286,0.2893055555555555,0.2938611111111111,0.2990833333333333,0.3033888888888889,0.3079166666666666,0.3064444444444444,0.30875,0.3131944444444444,0.3154722222222222,0.3143888888888889,0.3139166666666667,0.3147222222222222,0.3193611111111111,0.3266944444444444,0.3265,0.3281666666666666,0.3280833333333333,0.3302222222222222,0.3315,0.3318055555555556,0.3313888888888889,0.3295555555555555,0.3308611111111111,0.3325833333333333,0.3326944444444444,0.3372777777777778,0.3431944444444444,0.3419444444444444,0.3448055555555555,0.3460555555555555,0.3489722222222222,0.3513333333333333,0.3535,0.3495,0.3503333333333333,0.3531111111111111
-8,0.3304722222222222,0.35825,0.3642777777777777,0.3765555555555555,0.3988333333333333,0.3966388888888889,0.3924166666666667,0.3985833333333333,0.4054444444444444,0.4075833333333333,0.4181111111111111,0.4163888888888888,0.4266388888888889,0.4273888888888889,0.4291388888888889,0.4307777777777777,0.4327222222222222,0.4341388888888889,0.437,0.4471111111111111,0.4457222222222222,0.4534722222222222,0.4507777777777778,0.4521388888888888,0.4523055555555555,0.4543888888888889,0.458,0.4564722222222222,0.4566111111111111,0.4583055555555556,0.4609444444444444,0.4701111111111111,0.4703611111111111,0.47275,0.4721666666666667,0.4689166666666666,0.479,0.4805,0.4813055555555555,0.4785555555555555,0.4801388888888889,0.4810277777777778
-6,0.4328888888888889,0.4848055555555555,0.5055833333333334,0.5081944444444444,0.5266111111111111,0.5375833333333333,0.5414166666666667,0.55775,0.5585555555555556,0.56475,0.5694166666666667,0.5750555555555555,0.5775833333333333,0.5831666666666667,0.5895833333333333,0.5875,0.5920277777777778,0.5909444444444445,0.5929166666666666,0.6056111111111111,0.60825,0.6073055555555555,0.6115833333333334,0.6137222222222222,0.61625,0.6135555555555555,0.6182222222222222,0.6195,0.61775,0.6231666666666666,0.6208888888888889,0.6326111111111111,0.631,0.6319166666666667,0.6353055555555556,0.6360833333333333,0.6403611111111112,0.6423611111111112,0.6426111111111111,0.6453055555555556,0.6455277777777778,0.6468611111111111
-4,0.5522222222222222,0.6174444444444445,0.6409444444444444,0.6471944444444444,0.66725,0.6812222222222222,0.6912777777777778,0.7068055555555556,0.7168333333333333,0.7241388888888889,0.7369444444444444,0.744,0.7490833333333333,0.7526666666666667,0.754,0.7573333333333333,0.7607777777777778,0.7641944444444444,0.7656944444444445,0.7773611111111111,0.7805833333333333,0.7812777777777777,0.7849166666666667,0.78625,0.7874166666666667,0.7880555555555555,0.79,0.7914722222222222,0.7893055555555556,0.7919166666666667,0.7941666666666667,0.8008888888888889,0.8039166666666666,0.803,0.8040833333333334,0.8063055555555556,0.8115833333333333,0.8135,0.8137222222222222,0.8145277777777777,0.8151944444444444,0.8163888888888889
-2,0.6416111111111111,0.7234722222222222,0.7437222222222222,0.7617777777777778,0.7933333333333333,0.8046388888888889,0.8172777777777778,0.8348333333333333,0.8441666666666666,0.8540277777777778,0.8625833333333334,0.8651388888888889,0.8700833333333333,0.8721666666666666,0.8744722222222222,0.87625,0.8791111111111111,0.8808611111111111,0.8792777777777778,0.8864166666666666,0.8886666666666667,0.8878888888888888,0.8878888888888888,0.8899722222222223,0.8901111111111111,0.8906666666666667,0.8915555555555555,0.8916111111111111,0.8929722222222222,0.8915277777777778,0.8930833333333333,0.8979166666666667,0.8976944444444445,0.8986944444444445,0.8991666666666667,0.9004166666666666,0.9014444444444444,0.9031944444444444,0.9022222222222224,0.903,0.903,0.9041111111111111
0,0.7075555555555556,0.7836666666666666,0.7993611111111111,0.8213611111111111,0.86225,0.875,0.8812777777777778,0.8930555555555556,0.8991388888888889,0.9030833333333332,0.9086388888888888,0.9105,0.9130833333333334,0.9140833333333334,0.9153888888888888,0.916,0.9146944444444444,0.9191111111111112,0.9169722222222222,0.9203888888888888,0.9223055555555556,0.9215277777777776,0.9215,0.9231111111111112,0.9228333333333332,0.9222777777777778,0.92225,0.9243055555555556,0.9234444444444444,0.923,0.9235277777777776,0.9257222222222222,0.9252222222222222,0.9252222222222222,0.9251666666666668,0.9259722222222222,0.9273333333333332,0.92825,0.9267222222222222,0.9275555555555556,0.9276111111111112,0.9281666666666667
2,0.7303611111111111,0.8041666666666667,0.8164444444444444,0.8368888888888889,0.8815,0.8945,0.9019166666666668,0.9108333333333334,0.9153888888888888,0.9192222222222224,0.9212777777777778,0.9230833333333334,0.9244444444444444,0.9241388888888888,0.9265833333333332,0.9258611111111112,0.9262777777777778,0.9265555555555556,0.9265833333333332,0.9299444444444444,0.9299722222222222,0.9298055555555556,0.9301111111111112,0.9297222222222222,0.9291666666666668,0.9296388888888888,0.9300833333333334,0.9300555555555556,0.9291944444444444,0.9303888888888888,0.9305277777777776,0.9320833333333334,0.9322222222222222,0.9321388888888889,0.9321944444444444,0.9310555555555556,0.9321944444444444,0.9323055555555556,0.9323333333333332,0.9322777777777778,0.9323888888888888,0.9328333333333333
4,0.7402222222222222,0.81125,0.8224444444444444,0.8445555555555555,0.8917222222222222,0.9057222222222222,0.9111111111111112,0.9191666666666668,0.9224444444444444,0.9253055555555556,0.9272777777777778,0.9275555555555556,0.9291666666666668,0.9298055555555556,0.9301666666666668,0.9313888888888888,0.9310555555555556,0.9306944444444444,0.93,0.93225,0.9325,0.9320277777777778,0.9324722222222224,0.9334722222222224,0.9331111111111112,0.9323611111111112,0.93275,0.9336944444444444,0.9328055555555556,0.9321666666666668,0.9335833333333332,0.9339444444444444,0.9342222222222222,0.9345,0.9348333333333332,0.9343055555555556,0.9341388888888889,0.9340833333333334,0.9348055555555556,0.9345555555555556,0.9344166666666668,0.9345555555555556
6,0.74225,0.8141111111111111,0.8263333333333334,0.8465277777777778,0.8956388888888889,0.9066666666666666,0.9158333333333334,0.9233055555555556,0.9255833333333332,0.9276666666666666,0.9298611111111112,0.9321388888888889,0.9318611111111113,0.9320555555555556,0.9328333333333332,0.93225,0.9334166666666668,0.9341944444444444,0.9335277777777776,0.9358333333333332,0.9356388888888888,0.9349722222222222,0.9345,0.9351111111111112,0.9350277777777778,0.9351944444444444,0.9348611111111113,0.9340555555555556,0.9349444444444444,0.9355277777777776,0.9359444444444444,0.9356666666666666,0.93575,0.9368333333333332,0.9361944444444444,0.9359722222222222,0.9366111111111112,0.9363055555555556,0.9358333333333332,0.9363611111111112,0.9365833333333332,0.9363333333333334
8,0.7445833333333334,0.8171944444444444,0.8305277777777778,0.8503888888888889,0.8953611111111112,0.9109444444444444,0.9175277777777778,0.9240833333333334,0.9282777777777778,0.9308333333333332,0.9321111111111112,0.9329166666666666,0.9334722222222224,0.9340277777777778,0.9339444444444444,0.9339722222222222,0.9335,0.93525,0.9353055555555556,0.9366111111111112,0.9364722222222224,0.9363611111111112,0.9348611111111113,0.9369444444444444,0.9356388888888888,0.9366388888888888,0.93625,0.9363055555555556,0.9370277777777778,0.9363888888888888,0.9361666666666668,0.9371388888888889,0.9366666666666666,0.9371388888888889,0.9366944444444444,0.93675,0.937,0.9372777777777778,0.9373888888888888,0.9376944444444444,0.9371944444444444,0.9379722222222222
10,0.7415,0.8169444444444445,0.8289166666666666,0.8490555555555556,0.89775,0.9106666666666666,0.9194166666666668,0.9268333333333332,0.92925,0.93225,0.9342777777777778,0.9339166666666666,0.9346388888888888,0.9351666666666668,0.9358333333333332,0.9363055555555556,0.93525,0.9359444444444444,0.9363888888888888,0.9379444444444444,0.9373888888888888,0.9369722222222222,0.9374722222222224,0.9378888888888888,0.9374444444444444,0.9368611111111113,0.93775,0.9382777777777778,0.9373888888888888,0.9373333333333334,0.9386111111111112,0.9381111111111112,0.9381666666666668,0.9375555555555556,0.9382222222222222,0.9368888888888888,0.9386666666666666,0.9376666666666666,0.9375833333333332,0.9388055555555556,0.93825,0.9386944444444445
12,0.7392222222222222,0.8173333333333334,0.8288888888888889,0.8515277777777778,0.8984722222222222,0.9117222222222222,0.9170277777777778,0.9265277777777776,0.9281666666666668,0.9303333333333332,0.9321388888888889,0.9338888888888888,0.9342222222222222,0.9345,0.9345,0.9348888888888888,0.935,0.9353611111111112,0.9348611111111113,0.9362777777777778,0.93575,0.9360555555555556,0.9369166666666666,0.9365555555555556,0.9368888888888888,0.9377777777777778,0.9375555555555556,0.9370555555555556,0.9366666666666666,0.93775,0.93725,0.9373055555555556,0.9369166666666666,0.9362777777777778,0.9377222222222222,0.9382222222222222,0.9378055555555556,0.93825,0.9383611111111112,0.9373611111111112,0.9376388888888888,0.9379722222222222
14,0.7451111111111111,0.8179166666666666,0.8303888888888888,0.8507777777777777,0.8987222222222222,0.9120833333333334,0.9170277777777778,0.9261666666666668,0.9289444444444444,0.9319166666666666,0.9328333333333332,0.9332777777777778,0.9349166666666666,0.9353888888888888,0.9346666666666666,0.9347777777777778,0.9349722222222222,0.9354166666666668,0.9355555555555556,0.937,0.9366944444444444,0.9360277777777778,0.9370277777777778,0.9371666666666668,0.9362777777777778,0.9382222222222222,0.9373333333333334,0.9375555555555556,0.93825,0.9365833333333332,0.93725,0.9382222222222222,0.9383611111111112,0.9376944444444444,0.9394166666666668,0.93825,0.9381666666666668,0.93825,0.9383611111111112,0.9389166666666666,0.9399166666666666,0.9398333333333333
16,0.7458055555555556,0.8170555555555555,0.8309444444444445,0.8520833333333333,0.8976111111111111,0.9104722222222222,0.9161944444444444,0.9268055555555555,0.9293333333333332,0.9314444444444444,0.9323611111111112,0.9336388888888888,0.9338333333333332,0.9345277777777776,0.93525,0.9351666666666668,0.9352777777777778,0.9347777777777778,0.9355277777777776,0.93625,0.9368888888888888,0.9356666666666666,0.9362777777777778,0.9365277777777776,0.9363611111111112,0.9354166666666668,0.93625,0.9367777777777778,0.9366388888888888,0.93675,0.9366388888888888,0.9365277777777776,0.9375,0.9365833333333332,0.9378055555555556,0.9377777777777778,0.9375,0.9366111111111112,0.9358055555555556,0.9375555555555556,0.9365,0.9386944444444445
18,0.745,0.8141666666666667,0.8263888888888888,0.8474166666666667,0.8959444444444444,0.9082222222222224,0.9157222222222222,0.9259166666666668,0.9282777777777778,0.9298333333333332,0.9312777777777778,0.9329722222222222,0.93425,0.9341666666666668,0.9341944444444444,0.9346944444444444,0.934,0.9340555555555556,0.9339444444444444,0.9360555555555556,0.9357777777777778,0.9365,0.9368888888888888,0.9351666666666668,0.9353055555555556,0.9360833333333334,0.9355277777777776,0.9358333333333332,0.9355555555555556,0.9363611111111112,0.9359444444444444,0.9371666666666668,0.9378611111111111,0.9378055555555556,0.9377222222222222,0.9383888888888888,0.9371111111111112,0.9386944444444444,0.93925,0.9381944444444444,0.9380555555555556,0.9373611111111111
Avg,0.5120416666666666,0.5634819444444444,0.5732333333333334,0.5865527777777778,0.6140805555555555,0.6226527777777778,0.6274902777777778,0.6351083333333334,0.6384222222222222,0.6415763888888889,0.6447694444444444,0.6454875,0.6473694444444444,0.6488541666666666,0.6496763888888889,0.6499597222222222,0.6505944444444445,0.6514625,0.6519916666666666,0.6558,0.6561472222222222,0.6565,0.6571,0.6575027777777778,0.6578,0.65805,0.6586930555555556,0.6590027777777778,0.6588583333333333,0.6593875,0.6598555555555555,0.6626458333333334,0.6632513888888889,0.6633236111111112,0.6636263888888889,0.6640638888888889,0.6658305555555556,0.6663513888888889,0.6666666666666666,0.6668638888888889,0.6667291666666667,0.6678375
