SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-20,0.0916666666666666,0.095,0.0934848484848484,0.0939393939393939,0.0922727272727272,0.0921212121212121,0.096060606060606,0.0956060606060606,0.0951515151515151,0.0927272727272727,0.0962121212121212,0.0954545454545454,0.0936363636363636,0.098030303030303,0.096060606060606,0.0975757575757575,0.0969696969696969,0.0968181818181818,0.0959090909090909,0.0987878787878787,0.0986363636363636,0.1015151515151515,0.0995454545454545,0.101060606060606,0.1021212121212121,0.1025757575757575,0.1034848484848484,0.1042424242424242,0.1054545454545454,0.1048484848484848,0.1075757575757575,0.1081818181818181,0.1056060606060606,0.1074242424242424,0.11151515151515151
-18,0.0925757575757575,0.0965151515151515,0.0953030303030303,0.0959090909090909,0.0945454545454545,0.0924242424242424,0.0948484848484848,0.0959090909090909,0.0959090909090909,0.0963636363636363,0.0945454545454545,0.0993939393939394,0.0966666666666666,0.0969696969696969,0.098030303030303,0.0992424242424242,0.0984848484848484,0.0987878787878787,0.0998484848484848,0.1015151515151515,0.1027272727272727,0.1007575757575757,0.1027272727272727,0.108030303030303,0.1069696969696969,0.1092424242424242,0.1083333333333333,0.11,0.111060606060606,0.1121212121212121,0.1116666666666666,0.1124242424242424,0.114090909090909,0.1171212121212121,0.11621212121212121
-16,0.0969696969696969,0.0956060606060606,0.0981818181818181,0.1,0.0987878787878787,0.0992424242424242,0.0969696969696969,0.1003030303030303,0.1024242424242424,0.1021212121212121,0.1009090909090909,0.0989393939393939,0.1019696969696969,0.1018181818181818,0.1053030303030303,0.103030303030303,0.1062121212121212,0.1022727272727272,0.1056060606060606,0.1115151515151515,0.1078787878787878,0.11,0.1119696969696969,0.1115151515151515,0.1168181818181818,0.1154545454545454,0.1219696969696969,0.1184848484848484,0.118030303030303,0.1221212121212121,0.1219696969696969,0.1266666666666666,0.1234848484848484,0.1259090909090909,0.12803030303030302
-14,0.1083333333333333,0.1171212121212121,0.1246969696969697,0.1203030303030303,0.1262121212121212,0.1271212121212121,0.1298484848484848,0.1245454545454545,0.1307575757575757,0.1359090909090909,0.1356060606060606,0.128030303030303,0.1356060606060606,0.1343939393939394,0.1384848484848485,0.1343939393939394,0.1401515151515151,0.1427272727272727,0.1439393939393939,0.1528787878787879,0.1463636363636363,0.1522727272727272,0.1521212121212121,0.1524242424242424,0.1575757575757575,0.1601515151515151,0.1607575757575757,0.1656060606060606,0.163030303030303,0.1672727272727272,0.1683333333333333,0.1657575757575757,0.1695454545454545,0.1692424242424242,0.17242424242424242
-12,0.1440909090909091,0.1657575757575757,0.1762121212121212,0.1765151515151515,0.1774242424242424,0.179090909090909,0.1831818181818182,0.1881818181818181,0.1940909090909091,0.1845454545454545,0.1834848484848484,0.1737878787878788,0.1822727272727272,0.1775757575757575,0.1821212121212121,0.1771212121212121,0.1846969696969697,0.1869696969696969,0.1906060606060606,0.1943939393939394,0.1989393939393939,0.2033333333333333,0.1971212121212121,0.2042424242424242,0.2063636363636363,0.2112121212121212,0.2113636363636363,0.2127272727272727,0.2096969696969697,0.2139393939393939,0.2186363636363636,0.2175757575757576,0.2216666666666666,0.2242424242424242,0.22803030303030303
-10,0.2195454545454545,0.2513636363636363,0.2569696969696969,0.2634848484848485,0.2642424242424242,0.2615151515151515,0.2707575757575757,0.276969696969697,0.2795454545454545,0.2821212121212121,0.2707575757575757,0.281969696969697,0.273030303030303,0.2790909090909091,0.2693939393939394,0.2784848484848485,0.2762121212121212,0.2796969696969697,0.2775757575757576,0.2859090909090909,0.2893939393939393,0.2943939393939394,0.2939393939393939,0.294090909090909,0.3016666666666667,0.3109090909090909,0.3112121212121212,0.3171212121212121,0.3183333333333333,0.3331818181818182,0.3293939393939394,0.3224242424242424,0.3295454545454545,0.3415151515151515,0.3378787878787879
-8,0.3345454545454545,0.3706060606060606,0.3787878787878788,0.3833333333333333,0.3865151515151515,0.3865151515151515,0.3916666666666666,0.3951515151515151,0.4004545454545454,0.406060606060606,0.4116666666666667,0.4227272727272727,0.4184848484848484,0.4315151515151515,0.4269696969696969,0.4272727272727272,0.4239393939393939,0.4260606060606061,0.4387878787878788,0.4401515151515151,0.4478787878787879,0.4506060606060606,0.4486363636363636,0.4528787878787879,0.4606060606060606,0.4598484848484848,0.4687878787878788,0.479090909090909,0.4784848484848484,0.4907575757575758,0.4907575757575758,0.4936363636363636,0.4998484848484849,0.5004545454545455,0.5087878787878788
-6,0.4440909090909091,0.509090909090909,0.5259090909090909,0.541969696969697,0.5409090909090909,0.5433333333333333,0.5542424242424242,0.5590909090909091,0.5577272727272727,0.5684848484848485,0.5684848484848485,0.5822727272727273,0.583939393939394,0.5927272727272728,0.6022727272727273,0.6022727272727273,0.6071212121212122,0.616969696969697,0.6175757575757576,0.634090909090909,0.6401515151515151,0.6424242424242425,0.6443939393939394,0.6416666666666667,0.666060606060606,0.6637878787878788,0.6643939393939394,0.6656060606060606,0.6775757575757576,0.6815151515151515,0.6827272727272727,0.6918181818181818,0.6878787878787879,0.693939393939394,0.6981818181818182
-4,0.5390909090909091,0.6145454545454545,0.6321212121212121,0.6453030303030303,0.6522727272727272,0.6706060606060606,0.6804545454545454,0.6831818181818182,0.6837878787878788,0.6933333333333334,0.7024242424242424,0.7190909090909091,0.7313636363636363,0.7343939393939394,0.7389393939393939,0.7501515151515151,0.7481818181818182,0.7560606060606061,0.7545454545454545,0.7766666666666666,0.7837878787878788,0.7851515151515152,0.7830303030303031,0.7963636363636364,0.7998484848484848,0.8062121212121212,0.8056060606060607,0.8033333333333333,0.8116666666666666,0.8245454545454546,0.8265151515151515,0.8248484848484848,0.8253030303030303,0.8295454545454546,0.8319696969696969
-2,0.5909090909090909,0.681060606060606,0.6977272727272728,0.7219696969696969,0.738030303030303,0.7495454545454545,0.7653030303030303,0.7671212121212121,0.7715151515151515,0.7921212121212121,0.8103030303030303,0.8174242424242424,0.8336363636363636,0.8362121212121212,0.8427272727272728,0.8513636363636363,0.8522727272727273,0.8551515151515151,0.8604545454545455,0.8693939393939394,0.8757575757575757,0.8743939393939394,0.8798484848484849,0.8795454545454545,0.8877272727272727,0.8921212121212121,0.8915151515151515,0.8913636363636364,0.8928787878787878,0.8986363636363637,0.9037878787878788,0.8996969696969697,0.8983333333333333,0.9042424242424244,0.9078787878787878
0,0.6248484848484849,0.7246969696969697,0.7346969696969697,0.7571212121212121,0.7778787878787878,0.7963636363636364,0.8090909090909091,0.8178787878787879,0.8245454545454546,0.835,0.8506060606060606,0.8725757575757576,0.8818181818181818,0.8910606060606061,0.8904545454545455,0.8948484848484849,0.8963636363636364,0.8993939393939394,0.9024242424242424,0.9093939393939394,0.9053030303030304,0.9122727272727272,0.9134848484848485,0.9124242424242424,0.9154545454545454,0.9175757575757576,0.9175757575757576,0.9180303030303032,0.9184848484848483,0.9224242424242424,0.9209090909090908,0.923030303030303,0.9227272727272728,0.9240909090909092,0.9212121212121213
2,0.6362121212121212,0.7422727272727273,0.7513636363636363,0.7712121212121212,0.7912121212121213,0.8177272727272727,0.8243939393939393,0.8313636363636364,0.8360606060606061,0.8437878787878788,0.8665151515151515,0.8836363636363637,0.8925757575757576,0.8993939393939394,0.903939393939394,0.9051515151515152,0.9081818181818182,0.9080303030303032,0.9125757575757576,0.915,0.9172727272727272,0.9175757575757576,0.9153030303030304,0.9209090909090908,0.9225757575757576,0.9215151515151516,0.9196969696969696,0.9246969696969696,0.9243939393939394,0.9296969696969696,0.9259090909090908,0.9253030303030304,0.9243939393939394,0.9256060606060608,0.9256060606060607
4,0.6522727272727272,0.7518181818181818,0.759090909090909,0.7715151515151515,0.7951515151515152,0.823939393939394,0.8262121212121212,0.8345454545454546,0.8428787878787879,0.8521212121212122,0.8728787878787879,0.8883333333333333,0.8971212121212121,0.9012121212121212,0.9103030303030304,0.91,0.9116666666666666,0.916060606060606,0.9131818181818182,0.9201515151515152,0.9212121212121211,0.9192424242424242,0.9193939393939394,0.9184848484848483,0.921818181818182,0.923939393939394,0.9242424242424242,0.9246969696969696,0.9240909090909092,0.9253030303030304,0.9263636363636364,0.923939393939394,0.926060606060606,0.9245454545454546,0.9287878787878788
6,0.6566666666666666,0.7557575757575757,0.7692424242424243,0.7812121212121212,0.8028787878787879,0.8292424242424242,0.8353030303030303,0.8428787878787879,0.8504545454545455,0.8612121212121212,0.881969696969697,0.8913636363636364,0.9006060606060606,0.9083333333333332,0.9124242424242424,0.9165151515151516,0.9165151515151516,0.921818181818182,0.9196969696969696,0.9277272727272728,0.9257575757575758,0.9245454545454546,0.9265151515151516,0.9263636363636364,0.9345454545454546,0.9309090909090908,0.9327272727272728,0.928939393939394,0.9277272727272728,0.9316666666666666,0.9324242424242424,0.932878787878788,0.9312121212121212,0.9316666666666666,0.9331818181818182
8,0.641969696969697,0.7587878787878788,0.7698484848484849,0.7830303030303031,0.8057575757575758,0.8303030303030303,0.8386363636363636,0.8407575757575757,0.8527272727272728,0.8636363636363636,0.8810606060606061,0.8980303030303031,0.9074242424242424,0.9113636363636364,0.9156060606060606,0.916818181818182,0.916969696969697,0.9184848484848483,0.9240909090909092,0.9295454545454546,0.928939393939394,0.9257575757575758,0.9215151515151516,0.928030303030303,0.9290909090909092,0.9286363636363636,0.9293939393939394,0.9306060606060608,0.9286363636363636,0.93,0.9298484848484848,0.9284848484848484,0.9287878787878788,0.9268181818181818,0.9304545454545454
10,0.6601515151515152,0.7575757575757576,0.776060606060606,0.7951515151515152,0.8124242424242424,0.8266666666666667,0.8466666666666667,0.8422727272727273,0.8543939393939394,0.8631818181818182,0.8856060606060606,0.8978787878787878,0.9096969696969696,0.9157575757575758,0.9162121212121213,0.922121212121212,0.9225757575757576,0.9233333333333332,0.9246969696969696,0.9259090909090908,0.9286363636363636,0.9266666666666666,0.927121212121212,0.9263636363636364,0.927878787878788,0.9307575757575758,0.9287878787878788,0.9293939393939394,0.93,0.9309090909090908,0.9284848484848484,0.93,0.9312121212121212,0.9304545454545454,0.9303030303030303
12,0.6539393939393939,0.7622727272727273,0.7698484848484849,0.7913636363636364,0.801060606060606,0.8366666666666667,0.8442424242424242,0.848030303030303,0.8563636363636363,0.8574242424242424,0.885,0.8974242424242425,0.9066666666666666,0.9113636363636364,0.9163636363636364,0.9181818181818182,0.9177272727272728,0.9248484848484848,0.9298484848484848,0.9309090909090908,0.9312121212121212,0.9290909090909092,0.9301515151515152,0.9303030303030304,0.9336363636363636,0.9322727272727273,0.9343939393939394,0.9345454545454546,0.9351515151515152,0.9354545454545454,0.9366666666666666,0.933030303030303,0.9312121212121212,0.9354545454545454,0.9366666666666666
14,0.6480303030303031,0.7637878787878788,0.7712121212121212,0.7936363636363636,0.8074242424242424,0.8345454545454546,0.8460606060606061,0.8465151515151516,0.8506060606060606,0.8645454545454545,0.8866666666666667,0.8998484848484849,0.9054545454545454,0.9145454545454546,0.918939393939394,0.9206060606060606,0.9216666666666666,0.925,0.9240909090909092,0.9284848484848484,0.93,0.9318181818181818,0.9343939393939394,0.9313636363636364,0.9337878787878788,0.9316666666666666,0.9327272727272728,0.9340909090909092,0.9343939393939394,0.936060606060606,0.9359090909090908,0.9383333333333334,0.9343939393939394,0.9340909090909092,0.9384848484848485
16,0.6453030303030303,0.7556060606060606,0.7681818181818182,0.7846969696969697,0.8022727272727272,0.8307575757575758,0.8393939393939394,0.8463636363636363,0.8516666666666667,0.8596969696969697,0.8828787878787879,0.901060606060606,0.9087878787878788,0.913939393939394,0.9175757575757576,0.9222727272727272,0.9190909090909092,0.9248484848484848,0.9245454545454546,0.932121212121212,0.9313636363636364,0.9322727272727273,0.932121212121212,0.9327272727272728,0.9381818181818182,0.9356060606060606,0.9353030303030304,0.9351515151515152,0.9359090909090908,0.9365151515151516,0.937121212121212,0.9346969696969696,0.9356060606060606,0.9401515151515152,0.9353030303030303
18,0.6571212121212121,0.755,0.771969696969697,0.7953030303030303,0.8142424242424242,0.8316666666666667,0.8469696969696969,0.8536363636363636,0.8604545454545455,0.8654545454545455,0.8877272727272727,0.9046969696969696,0.9134848484848485,0.9157575757575758,0.9159090909090908,0.9233333333333332,0.9216666666666666,0.9257575757575758,0.9275757575757576,0.93,0.9304545454545454,0.9324242424242424,0.9345454545454546,0.9296969696969696,0.9346969696969696,0.9316666666666666,0.9306060606060608,0.936060606060606,0.935,0.9362121212121212,0.937878787878788,0.9393939393939394,0.9340909090909092,0.9359090909090908,0.9348484848484848
Avg,0.4569166666666667,0.5262121212121212,0.5360454545454545,0.5483484848484849,0.5590757575757576,0.572969696969697,0.5810151515151515,0.5845151515151515,0.5895757575757575,0.5959924242424243,0.6077651515151515,0.6176969696969697,0.6237121212121212,0.6282727272727273,0.6309015151515152,0.6335378787878788,0.6343333333333333,0.6374545454545455,0.6393787878787879,0.6457272727272727,0.6470833333333333,0.6483257575757576,0.6483939393939394,0.6499242424242424,0.6548712121212121,0.6558030303030303,0.6566439393939394,0.6581893939393939,0.659,0.6631590909090909,0.6636439393939394,0.6636060606060606,0.66375,0.6661212121212121,0.6677878787878788
