SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
-20,0.1071111111111111,0.1031388888888888,0.1069166666666666,0.1025555555555555,0.1056111111111111,0.1032222222222222,0.1065277777777777,0.10625,0.1051388888888888,0.1056666666666666,0.1048611111111111,0.1048888888888888,0.1061944444444444,0.1050833333333333,0.1046388888888888,0.1068611111111111,0.1072777777777777,0.1066944444444444,0.1041388888888888,0.1086388888888888,0.1068333333333333,0.1068611111111111,0.1074722222222222,0.1063888888888889,0.1055277777777777,0.1072222222222222,0.1068611111111111,0.1098055555555555,0.1065,0.1079166666666666,0.1083055555555555,0.1076944444444444,0.1106944444444444,0.1125555555555555,0.1099166666666666,0.1111666666666666,0.1125833333333333,0.1146388888888888,0.1128888888888888,0.1150555555555555,0.1174166666666666,0.1175,0.1203055555555555,0.1209444444444444,0.1201944444444444,0.1222777777777777,0.12119444444444444
-18,0.1087777777777777,0.1068888888888889,0.1118888888888888,0.1129444444444444,0.1094444444444444,0.1092222222222222,0.1096111111111111,0.1076666666666666,0.1103611111111111,0.1113333333333333,0.1102222222222222,0.1093333333333333,0.1087222222222222,0.1106388888888888,0.1125833333333333,0.112,0.11225,0.1127222222222222,0.1093611111111111,0.1124444444444444,0.1113888888888888,0.1133611111111111,0.1126944444444444,0.11375,0.1140555555555555,0.1123611111111111,0.1108611111111111,0.1119722222222222,0.1110555555555555,0.1136944444444444,0.1125555555555555,0.1136388888888888,0.1140555555555555,0.1146666666666666,0.1148611111111111,0.1175277777777777,0.1170833333333333,0.1183333333333333,0.1181944444444444,0.1203333333333333,0.1205,0.1224722222222222,0.1245833333333333,0.1230555555555555,0.1252777777777777,0.1263333333333333,0.1269722222222222
-16,0.1178611111111111,0.1182777777777777,0.1208055555555555,0.1213611111111111,0.121,0.1233055555555555,0.1204444444444444,0.1225277777777777,0.1234444444444444,0.1248611111111111,0.1223055555555555,0.1236111111111111,0.1211666666666666,0.1222222222222222,0.1232222222222222,0.1232777777777777,0.1228055555555555,0.1268611111111111,0.1283333333333333,0.1237222222222222,0.1238611111111111,0.1240277777777777,0.1268055555555555,0.1257777777777777,0.1263888888888888,0.128,0.1247777777777777,0.1285,0.128,0.1292222222222222,0.1245833333333333,0.1253055555555555,0.1293055555555555,0.1313055555555555,0.131,0.1304444444444444,0.1311666666666666,0.1331666666666666,0.1330277777777777,0.1333611111111111,0.1380277777777777,0.1371111111111111,0.1368333333333333,0.1385277777777777,0.1398055555555555,0.14325,0.14391666666666666
-14,0.1396388888888889,0.14925,0.1537777777777778,0.1578055555555555,0.1572777777777777,0.1577777777777777,0.1574166666666666,0.15725,0.1565,0.1586388888888888,0.1572222222222222,0.1562222222222222,0.15775,0.1577222222222222,0.1568611111111111,0.1616666666666666,0.15975,0.1615833333333333,0.1598055555555555,0.1596666666666666,0.1615833333333333,0.1620555555555555,0.1608888888888889,0.1643333333333333,0.1630555555555555,0.1640555555555555,0.16325,0.1643055555555555,0.1639166666666666,0.1636944444444444,0.1663888888888889,0.1646111111111111,0.1642777777777777,0.1705277777777777,0.1698055555555555,0.1667222222222222,0.1723055555555555,0.1704444444444444,0.1697222222222222,0.1724722222222222,0.1784722222222222,0.1771388888888889,0.1776666666666666,0.1776944444444444,0.1794444444444444,0.1855555555555555,0.1816111111111111
-12,0.19125,0.2086111111111111,0.2087222222222222,0.2061666666666666,0.2078611111111111,0.2075833333333333,0.2134722222222222,0.2132777777777778,0.2124166666666666,0.2178888888888888,0.2173333333333333,0.2168611111111111,0.2146111111111111,0.21425,0.2154166666666666,0.2160833333333333,0.2178055555555555,0.2191388888888888,0.2179444444444444,0.2195555555555555,0.22025,0.2166944444444444,0.2175,0.2196111111111111,0.2202222222222222,0.2230833333333333,0.2234444444444444,0.2199166666666666,0.2202777777777777,0.2219722222222222,0.2215555555555555,0.2243611111111111,0.2199722222222222,0.2275555555555555,0.2224444444444444,0.22625,0.2291666666666666,0.2265277777777777,0.2300555555555555,0.2294722222222222,0.2327222222222222,0.2314722222222222,0.2375555555555555,0.2369444444444444,0.2411388888888889,0.2383888888888889,0.242
-10,0.2745277777777777,0.2945833333333333,0.2926388888888889,0.2874444444444444,0.2916388888888889,0.2921666666666667,0.2945833333333333,0.2991388888888889,0.3020555555555556,0.3023611111111111,0.3043888888888889,0.3068333333333333,0.30475,0.3082222222222222,0.3106388888888889,0.3070277777777778,0.3085277777777778,0.3114444444444444,0.3087777777777777,0.31375,0.3121111111111111,0.3130277777777778,0.3179444444444444,0.31525,0.32075,0.3148611111111111,0.3205,0.3212777777777778,0.3188333333333333,0.326,0.3195555555555555,0.3207777777777778,0.3244166666666667,0.3271111111111111,0.3366666666666666,0.3345,0.3346666666666666,0.3388888888888889,0.3357777777777778,0.3379444444444444,0.3446944444444444,0.3490555555555555,0.34725,0.3470555555555555,0.355,0.35475,0.3512777777777778
-8,0.3413611111111111,0.3759444444444444,0.3887222222222222,0.3938611111111111,0.3951666666666666,0.3926388888888888,0.3976111111111111,0.3995,0.4002777777777778,0.4053333333333333,0.4033888888888889,0.4061388888888889,0.4126944444444444,0.4136111111111111,0.4175,0.4157777777777778,0.4238333333333333,0.4218333333333333,0.4254444444444444,0.4294166666666666,0.4288055555555555,0.4301111111111111,0.4335,0.4348888888888889,0.4386388888888889,0.4391944444444444,0.4341388888888889,0.4429444444444444,0.4375277777777778,0.4429722222222222,0.4420277777777778,0.4438055555555555,0.4464444444444444,0.4561944444444444,0.4578611111111111,0.4611388888888889,0.4623333333333333,0.4634444444444444,0.4635277777777777,0.4641111111111111,0.47425,0.4771944444444444,0.47775,0.4755555555555555,0.4829166666666666,0.4855,0.48744444444444446
-6,0.4328888888888889,0.4800277777777778,0.5044722222222222,0.5231666666666667,0.5309444444444444,0.544,0.5449166666666667,0.5466388888888889,0.5506666666666666,0.5531388888888888,0.5537777777777778,0.5580277777777778,0.5655,0.5676388888888889,0.5718888888888889,0.57525,0.5786388888888889,0.5799444444444445,0.5838333333333333,0.583,0.5858888888888889,0.5857222222222223,0.5853888888888888,0.5875,0.5891111111111111,0.5911666666666666,0.5875277777777778,0.59325,0.5929166666666666,0.5943611111111111,0.5978888888888889,0.5991666666666666,0.5986388888888889,0.6115,0.6133333333333333,0.61375,0.6163611111111111,0.6187777777777778,0.6173888888888889,0.6216666666666667,0.6316111111111111,0.6339166666666667,0.6354722222222222,0.6367222222222222,0.6415833333333333,0.64425,0.6441111111111111
-4,0.5394444444444444,0.6155277777777778,0.6517222222222222,0.6626111111111112,0.6765555555555556,0.6833888888888889,0.6888888888888889,0.6955555555555556,0.7000555555555555,0.7040555555555555,0.7110555555555556,0.7126111111111111,0.72175,0.7251111111111112,0.7301666666666666,0.7338611111111111,0.7390833333333333,0.7419444444444444,0.7436944444444444,0.7462777777777778,0.7463055555555556,0.7493611111111111,0.7515277777777778,0.7530555555555556,0.7548055555555555,0.7515833333333334,0.7568333333333334,0.7561388888888889,0.7596666666666667,0.7644166666666666,0.7644444444444445,0.7660555555555556,0.7630277777777777,0.7791944444444444,0.7818055555555555,0.7818611111111111,0.7840833333333334,0.7859722222222222,0.7888888888888889,0.7893611111111111,0.7975555555555556,0.8008611111111111,0.8015,0.8014444444444444,0.8085,0.80975,0.8071944444444444
-2,0.6328333333333334,0.7280833333333333,0.7655,0.7856111111111111,0.7979444444444445,0.8081111111111111,0.8142222222222222,0.8186111111111111,0.8229722222222222,0.8283611111111111,0.8331388888888889,0.83425,0.8413333333333334,0.8445,0.8479444444444444,0.8524444444444444,0.8550555555555556,0.8562222222222222,0.8597222222222223,0.8634722222222222,0.8629166666666667,0.8681944444444445,0.8684722222222222,0.8694722222222222,0.8706666666666667,0.8655555555555555,0.8713333333333333,0.8728611111111111,0.874,0.8750277777777777,0.8753611111111111,0.8765555555555555,0.8760277777777777,0.8853333333333333,0.8876944444444445,0.8876111111111111,0.8886388888888889,0.8907222222222222,0.8910555555555556,0.8907222222222222,0.8956388888888889,0.8984722222222222,0.8957222222222222,0.8980277777777778,0.9000833333333333,0.9014722222222222,0.9017777777777778
0,0.6896388888888889,0.7956111111111112,0.8420277777777778,0.8564166666666667,0.8702777777777778,0.87825,0.8841944444444444,0.889,0.8916111111111111,0.89675,0.8986388888888889,0.8996111111111111,0.9034444444444444,0.9036111111111113,0.9080833333333334,0.9086111111111111,0.9098333333333334,0.9106944444444444,0.9114166666666668,0.9138888888888888,0.9144722222222222,0.9142777777777776,0.914,0.9159722222222222,0.9170277777777778,0.9138611111111112,0.9153333333333332,0.9166944444444444,0.9181111111111112,0.9183055555555556,0.9182222222222224,0.9189444444444445,0.9183055555555556,0.9224444444444444,0.9227222222222222,0.9238333333333332,0.9236944444444444,0.9236111111111112,0.9251111111111112,0.9244444444444444,0.9263888888888888,0.9263888888888888,0.9265833333333332,0.9266666666666666,0.9270555555555556,0.9273055555555556,0.9278055555555556
2,0.7136666666666667,0.8249722222222222,0.8708333333333333,0.8865277777777778,0.8984166666666666,0.9038333333333334,0.9079444444444444,0.9109722222222222,0.9126388888888888,0.9145833333333332,0.9168333333333332,0.9207222222222222,0.9216666666666666,0.9222222222222224,0.9237777777777778,0.9246666666666666,0.9261944444444444,0.9249166666666668,0.9244722222222224,0.9257777777777778,0.9259166666666668,0.9267222222222222,0.9276111111111112,0.9278333333333332,0.9281111111111112,0.9267222222222222,0.92825,0.9283888888888888,0.9275555555555556,0.9279166666666666,0.9297777777777778,0.9293888888888888,0.9273611111111112,0.9305833333333332,0.9304722222222224,0.9313888888888888,0.9300277777777778,0.9311944444444444,0.9301666666666668,0.9295833333333332,0.9328333333333332,0.9315277777777776,0.9318888888888888,0.9328888888888888,0.9325555555555556,0.9326666666666666,0.9323055555555556
4,0.7278888888888889,0.8322222222222222,0.8789722222222223,0.8954444444444445,0.9050555555555556,0.9120833333333334,0.917,0.9207222222222222,0.9220833333333334,0.9234722222222222,0.9239444444444443,0.9264166666666668,0.9277222222222222,0.927,0.9290277777777778,0.9279722222222222,0.9284444444444444,0.9298888888888888,0.9293333333333332,0.9306666666666666,0.9306944444444444,0.9296111111111112,0.9301388888888888,0.9315277777777776,0.9313055555555556,0.9295277777777776,0.9306666666666666,0.9315277777777776,0.9313611111111112,0.9317222222222222,0.9323055555555556,0.9318055555555556,0.9305,0.9329444444444444,0.9330833333333334,0.9336666666666666,0.9331388888888889,0.93375,0.9334166666666668,0.9335,0.9345277777777776,0.9345833333333332,0.9341111111111112,0.9337222222222222,0.9343333333333332,0.9348888888888888,0.9343333333333333
6,0.7304444444444445,0.8394722222222222,0.8818888888888889,0.9001388888888889,0.9082222222222224,0.91425,0.9194444444444444,0.9235833333333332,0.9248333333333332,0.9254722222222224,0.9274166666666668,0.9287777777777778,0.9295,0.9291944444444444,0.9304722222222224,0.93125,0.9323611111111112,0.933,0.9321388888888889,0.9326111111111112,0.9325555555555556,0.93225,0.9330833333333334,0.9335277777777776,0.9330555555555556,0.9326388888888888,0.9331666666666668,0.9331944444444444,0.93425,0.9338888888888888,0.9341111111111112,0.9346944444444444,0.9339722222222222,0.9350277777777778,0.93575,0.9353055555555556,0.9350833333333334,0.9353333333333332,0.9355833333333332,0.9352222222222222,0.93575,0.936,0.93625,0.9355,0.9360555555555556,0.9363055555555556,0.9358333333333333
8,0.73275,0.8412777777777778,0.8845833333333334,0.8995833333333333,0.9105555555555556,0.9161944444444444,0.9216111111111112,0.9245277777777776,0.9270555555555556,0.9274722222222224,0.9295555555555556,0.9299722222222222,0.9312777777777778,0.9305555555555556,0.9335277777777776,0.9333611111111112,0.9335277777777776,0.9331944444444444,0.9330833333333334,0.9348055555555556,0.9341388888888889,0.9333611111111112,0.9344166666666668,0.9336388888888888,0.9346666666666666,0.9326944444444444,0.9345277777777776,0.9344444444444444,0.9359722222222222,0.9350555555555556,0.9355,0.9352222222222222,0.9346388888888888,0.9354166666666668,0.9366666666666666,0.9366388888888888,0.9356111111111112,0.9365277777777776,0.9367777777777778,0.9367777777777778,0.9369722222222222,0.9360555555555556,0.9365,0.9370555555555556,0.9368055555555556,0.9374444444444444,0.9368055555555556
10,0.7298333333333333,0.8438055555555556,0.8849444444444444,0.9039166666666668,0.9113611111111112,0.9183055555555556,0.9238888888888888,0.9261944444444444,0.9287777777777778,0.9290277777777778,0.9301111111111112,0.93175,0.9330277777777778,0.9335833333333332,0.9337777777777778,0.93375,0.9357777777777778,0.9351388888888889,0.9340833333333334,0.9351666666666668,0.9349444444444444,0.9361666666666668,0.9366666666666666,0.9354722222222224,0.9351666666666668,0.9355833333333332,0.9353888888888888,0.9369722222222222,0.9365,0.9379722222222222,0.93675,0.9359166666666666,0.9370555555555556,0.9383888888888888,0.93825,0.9369444444444444,0.9381388888888887,0.9377777777777778,0.937,0.9374722222222224,0.9375,0.9389722222222222,0.9385,0.938,0.9379444444444444,0.9378333333333332,0.9393611111111111
12,0.7316666666666667,0.8411944444444445,0.8867222222222222,0.90225,0.9119444444444444,0.9165,0.9220833333333334,0.925,0.9261388888888888,0.9281388888888888,0.9288333333333332,0.9309444444444444,0.9325555555555556,0.9326666666666666,0.9335,0.9337222222222222,0.9338055555555556,0.9347777777777778,0.9352222222222222,0.9346944444444444,0.9345,0.9342777777777778,0.9358611111111113,0.9361944444444444,0.9346111111111112,0.9349166666666666,0.9352222222222222,0.9362222222222222,0.9346944444444444,0.9348888888888888,0.9350555555555556,0.9372777777777778,0.93525,0.9363055555555556,0.9363333333333334,0.9369722222222222,0.9361666666666668,0.9366944444444444,0.9373888888888888,0.9377222222222222,0.9380277777777778,0.9374722222222224,0.9372222222222222,0.9382222222222222,0.9378888888888888,0.9381388888888887,0.9381111111111111
14,0.7337777777777778,0.8411944444444445,0.8834444444444445,0.9001111111111111,0.9108888888888887,0.9171666666666668,0.9224722222222222,0.9250277777777778,0.9274166666666668,0.9283333333333332,0.9297777777777778,0.93175,0.9315277777777776,0.9325555555555556,0.9335,0.9333611111111112,0.9345833333333332,0.9332777777777778,0.9341666666666668,0.9351944444444444,0.9345555555555556,0.9350833333333334,0.93425,0.9350277777777778,0.9351944444444444,0.9344166666666668,0.9341666666666668,0.9351388888888889,0.9366944444444444,0.9355277777777776,0.9378055555555556,0.9359722222222222,0.9345277777777776,0.938,0.9361388888888889,0.9381944444444444,0.9386666666666666,0.9380833333333334,0.9385,0.9382222222222222,0.9393055555555556,0.9387777777777778,0.9385833333333332,0.938,0.9395277777777776,0.9394444444444444,0.9378888888888889
16,0.7323888888888889,0.8400277777777778,0.8851666666666667,0.9009722222222222,0.9120277777777778,0.9189166666666668,0.9235,0.9255833333333332,0.9270277777777778,0.9276388888888888,0.9300277777777778,0.9311666666666668,0.93175,0.9324444444444444,0.9329444444444444,0.933,0.9339444444444444,0.9345833333333332,0.9345,0.9341111111111112,0.9360277777777778,0.9338888888888888,0.93475,0.9355833333333332,0.9337777777777778,0.9340277777777778,0.9346111111111112,0.936,0.9352777777777778,0.9341666666666668,0.9348055555555556,0.9345277777777776,0.9336388888888888,0.9352222222222222,0.9373055555555556,0.93475,0.9368055555555556,0.9368055555555556,0.9362777777777778,0.9369722222222222,0.9373333333333334,0.9353055555555556,0.9376666666666666,0.9356111111111112,0.9369722222222222,0.9361388888888889,0.9376666666666666
18,0.7290555555555556,0.8394166666666667,0.88375,0.9012222222222224,0.9102777777777776,0.9183611111111112,0.9229444444444443,0.92525,0.9263333333333332,0.9279722222222222,0.9291388888888888,0.9309166666666666,0.93175,0.9313611111111112,0.93175,0.9326944444444444,0.9334166666666668,0.9334722222222224,0.9329722222222222,0.9349444444444444,0.9329444444444444,0.9332222222222222,0.9343055555555556,0.9335555555555556,0.9336944444444444,0.9326666666666666,0.9341111111111112,0.93575,0.93525,0.9350555555555556,0.9353333333333332,0.936,0.9330833333333334,0.9346944444444444,0.9357222222222222,0.9361388888888889,0.9358611111111113,0.9356111111111112,0.9358055555555556,0.9360555555555556,0.9378333333333332,0.9373611111111112,0.9379166666666666,0.9388888888888888,0.9391388888888887,0.9382777777777778,0.9386666666666666
Avg,0.5068402777777777,0.5759763888888889,0.604375,0.6150055555555556,0.6221236111111111,0.6267638888888889,0.6306388888888889,0.6331138888888889,0.6348902777777777,0.637025,0.6380986111111111,0.6395402777777778,0.6414347222222222,0.6422097222222222,0.6440611111111111,0.6448319444444445,0.6463458333333333,0.6470666666666667,0.6471222222222223,0.6485902777777778,0.6485347222222222,0.6489138888888889,0.6498638888888889,0.6504180555555555,0.6509916666666666,0.6502069444444445,0.6507486111111112,0.6522652777777778,0.6519180555555556,0.6531888888888889,0.6531166666666667,0.6535861111111111,0.6532597222222222,0.6577486111111112,0.6583916666666667,0.6587402777777778,0.6595791666666667,0.6603152777777778,0.6603277777777777,0.6610236111111111,0.6643680555555556,0.6648819444444445,0.6654930555555556,0.6655263888888889,0.6676111111111112,0.6684986111111111,0.6683138888888889
